timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/04/22 19:17:03.393, 2, 26, 345 MHz, 68.73 W, 0 %, 4 MiB
2026/04/22 19:17:03.397, 3, 22, 345 MHz, 68.91 W, 0 %, 4 MiB
2026/04/22 19:17:03.398, 4, 22, 345 MHz, 69.38 W, 0 %, 4 MiB
2026/04/22 19:17:03.502, 5, 26, 345 MHz, 69.76 W, 0 %, 4 MiB
2026/04/22 19:17:03.505, 6, 24, 345 MHz, 71.20 W, 0 %, 4 MiB
2026/04/22 19:17:03.506, 7, 23, 345 MHz, 67.52 W, 0 %, 4 MiB
2026/04/22 19:17:04.507, 0, 22, 345 MHz, 69.35 W, 0 %, 4 MiB
2026/04/22 19:17:04.509, 1, 25, 345 MHz, 68.70 W, 0 %, 4 MiB
2026/04/22 19:17:04.510, 2, 26, 345 MHz, 68.72 W, 0 %, 4 MiB
2026/04/22 19:17:04.510, 3, 22, 345 MHz, 68.91 W, 0 %, 4 MiB
2026/04/22 19:17:04.511, 4, 23, 1980 MHz, 108.63 W, 0 %, 529 MiB
2026/04/22 19:17:04.511, 5, 26, 345 MHz, 69.71 W, 0 %, 4 MiB
2026/04/22 19:17:04.512, 6, 24, 345 MHz, 71.17 W, 0 %, 4 MiB
2026/04/22 19:17:04.512, 7, 23, 345 MHz, 67.42 W, 0 %, 4 MiB
2026/04/22 19:17:05.513, 0, 23, 1980 MHz, 72.71 W, 0 %, 22 MiB
2026/04/22 19:17:05.518, 1, 26, 1980 MHz, 100.43 W, 0 %, 529 MiB
2026/04/22 19:17:05.520, 2, 26, 345 MHz, 68.67 W, 0 %, 4 MiB
2026/04/22 19:17:05.521, 3, 22, 345 MHz, 68.92 W, 0 %, 10 MiB
2026/04/22 19:17:05.522, 4, 23, 1980 MHz, 114.31 W, 0 %, 529 MiB
2026/04/22 19:17:05.524, 5, 26, 345 MHz, 69.71 W, 0 %, 4 MiB
2026/04/22 19:17:05.524, 6, 25, 1980 MHz, 101.01 W, 0 %, 529 MiB
2026/04/22 19:17:05.525, 7, 23, 345 MHz, 67.45 W, 0 %, 16 MiB
2026/04/22 19:17:06.527, 0, 24, 1980 MHz, 116.43 W, 0 %, 529 MiB
2026/04/22 19:17:06.528, 1, 26, 1980 MHz, 113.72 W, 0 %, 529 MiB
2026/04/22 19:17:06.529, 2, 28, 1980 MHz, 93.45 W, 2 %, 529 MiB
2026/04/22 19:17:06.530, 3, 23, 1980 MHz, 112.74 W, 2 %, 529 MiB
2026/04/22 19:17:06.530, 4, 23, 1980 MHz, 114.78 W, 0 %, 529 MiB
2026/04/22 19:17:06.531, 5, 27, 1980 MHz, 109.22 W, 2 %, 529 MiB
2026/04/22 19:17:06.531, 6, 25, 1980 MHz, 114.51 W, 0 %, 529 MiB
2026/04/22 19:17:06.532, 7, 24, 1980 MHz, 108.88 W, 2 %, 529 MiB
2026/04/22 19:17:07.533, 0, 24, 1980 MHz, 114.40 W, 0 %, 725 MiB
2026/04/22 19:17:07.536, 1, 26, 1980 MHz, 113.81 W, 0 %, 725 MiB
2026/04/22 19:17:07.540, 2, 28, 1980 MHz, 114.23 W, 1 %, 725 MiB
2026/04/22 19:17:07.541, 3, 23, 1980 MHz, 113.79 W, 0 %, 725 MiB
2026/04/22 19:17:07.542, 4, 23, 1980 MHz, 114.91 W, 0 %, 727 MiB
2026/04/22 19:17:07.543, 5, 27, 1980 MHz, 114.26 W, 0 %, 725 MiB
2026/04/22 19:17:07.545, 6, 25, 1980 MHz, 114.57 W, 0 %, 727 MiB
2026/04/22 19:17:07.546, 7, 24, 1980 MHz, 111.12 W, 0 %, 727 MiB
2026/04/22 19:17:08.547, 0, 24, 1980 MHz, 114.43 W, 0 %, 1333 MiB
2026/04/22 19:17:08.549, 1, 27, 1980 MHz, 113.82 W, 0 %, 1333 MiB
2026/04/22 19:17:08.550, 2, 28, 1980 MHz, 114.50 W, 0 %, 1333 MiB
2026/04/22 19:17:08.552, 3, 23, 1980 MHz, 113.74 W, 0 %, 1333 MiB
2026/04/22 19:17:08.553, 4, 23, 1980 MHz, 114.96 W, 0 %, 1333 MiB
2026/04/22 19:17:08.554, 5, 27, 1980 MHz, 114.47 W, 0 %, 1333 MiB
2026/04/22 19:17:08.555, 6, 25, 1980 MHz, 114.57 W, 0 %, 1333 MiB
2026/04/22 19:17:08.556, 7, 24, 1980 MHz, 111.08 W, 2 %, 1333 MiB
2026/04/22 19:17:09.557, 0, 24, 1980 MHz, 114.85 W, 0 %, 1519 MiB
2026/04/22 19:17:09.561, 1, 27, 1980 MHz, 114.10 W, 0 %, 1519 MiB
2026/04/22 19:17:09.563, 2, 28, 1980 MHz, 114.63 W, 0 %, 1519 MiB
2026/04/22 19:17:09.566, 3, 23, 1980 MHz, 114.00 W, 0 %, 1519 MiB
2026/04/22 19:17:09.568, 4, 23, 1980 MHz, 115.28 W, 0 %, 1519 MiB
2026/04/22 19:17:09.571, 5, 27, 1980 MHz, 114.70 W, 0 %, 1519 MiB
2026/04/22 19:17:09.574, 6, 26, 1980 MHz, 114.91 W, 0 %, 1519 MiB
2026/04/22 19:17:09.577, 7, 24, 1980 MHz, 111.45 W, 0 %, 1519 MiB
2026/04/22 19:17:10.581, 0, 24, 1980 MHz, 114.44 W, 0 %, 1519 MiB
2026/04/22 19:17:10.587, 1, 27, 1980 MHz, 113.77 W, 0 %, 1519 MiB
2026/04/22 19:17:10.592, 2, 28, 1980 MHz, 114.37 W, 0 %, 1519 MiB
2026/04/22 19:17:10.596, 3, 23, 1980 MHz, 113.74 W, 0 %, 1519 MiB
2026/04/22 19:17:10.600, 4, 23, 1980 MHz, 114.90 W, 0 %, 1519 MiB
2026/04/22 19:17:10.606, 5, 27, 1980 MHz, 114.43 W, 0 %, 1519 MiB
2026/04/22 19:17:10.611, 6, 26, 1980 MHz, 114.62 W, 0 %, 1519 MiB
2026/04/22 19:17:10.616, 7, 24, 1980 MHz, 111.06 W, 0 %, 1519 MiB
2026/04/22 19:17:11.621, 0, 24, 1980 MHz, 114.56 W, 0 %, 1519 MiB
2026/04/22 19:17:11.624, 1, 27, 1980 MHz, 113.95 W, 4 %, 1721 MiB
2026/04/22 19:17:11.625, 2, 28, 1980 MHz, 114.39 W, 2 %, 1721 MiB
2026/04/22 19:17:11.625, 3, 23, 1980 MHz, 113.87 W, 0 %, 1721 MiB
2026/04/22 19:17:11.626, 4, 24, 1980 MHz, 115.06 W, 0 %, 1721 MiB
2026/04/22 19:17:11.627, 5, 27, 1980 MHz, 114.68 W, 0 %, 1721 MiB
2026/04/22 19:17:11.627, 6, 26, 1980 MHz, 114.75 W, 0 %, 1721 MiB
2026/04/22 19:17:11.628, 7, 24, 1980 MHz, 111.14 W, 0 %, 1721 MiB
2026/04/22 19:17:12.629, 0, 24, 1980 MHz, 114.63 W, 7 %, 1721 MiB
2026/04/22 19:17:12.634, 1, 27, 1980 MHz, 113.96 W, 0 %, 1741 MiB
2026/04/22 19:17:12.639, 2, 28, 1980 MHz, 114.43 W, 0 %, 1741 MiB
2026/04/22 19:17:12.645, 3, 23, 1980 MHz, 113.87 W, 0 %, 1741 MiB
2026/04/22 19:17:12.650, 4, 24, 1980 MHz, 115.03 W, 0 %, 1741 MiB
