run_id	config_hash	status	mode	val_bpb	training_seconds	total_seconds	peak_vram_mb	mfu_percent	total_tokens_M	num_steps	num_params_M	depth	artifact_bytes	output_dir	results_path
ar5090-20260321-224244	721b342bac1099b395fe28ae24c032a3aa33cdb00ad5b4799dc0506ce18bef04	success	train	1.536027873	411.716156	427.484926	11820.627	0.000	67.031040	1091	17.631264	4	8549239	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-224244	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-224244/results.json
ar5090-20260321-225834	3735a84526fdb4c1696f07990abb42ada492335804309bede6a42613a2bcf10a	success	train	1.552604026	426.962543	442.713690	11508.605	0.000	63.209472	1286	17.500192	4	8781007	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-225834	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-225834/results.json
ar5090-20260321-231130	84bd229b37e3de65ec3a3914051eccbfef61192df59d2198ade8e8c8a66a0e5a	success	train	1.529478563	411.560951	427.855572	11830.878	0.000	66.846720	1088	17.500192	4	9190936	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-231130	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-231130/results.json
ar5090-20260321-232639	b1e1476d46c85301f5d950cf1030b7e745661c824a823608b63c37fb90e03d8e	success	train	1.528722913	411.795156	427.298551	11827.878	0.000	67.031040	1091	17.500192	4	9207890	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-232639	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-232639/results.json
ar5090-20260321-234131	d9df77c23bc0fcace4ad8487f4c193263c1182c9276c4617fe43b4a334989351	success	train	1.531748143	411.763097	427.477401	11833.753	0.000	66.723840	1086	17.565728	4	9088937	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-234131	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-234131/results.json
ar5090-20260321-235505	280e5c4fc5b7286f3b64bfb158b4a1635d0b201d493133a6f5dc700a231fc218	success	train	1.528797182	411.730468	425.670877	11830.878	0.000	66.785280	1087	17.500192	4	17560314	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-235505	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260321-235505/results.json
ar5090-20260322-001354	eed295f183fa68932f9e5bb40db77ddc482b58380a7066b83d6bad33b938fbba	success	train	1.528883010	411.652578	426.001500	11830.878	0.000	66.846720	1088	17.500192	4	15319973	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-001354	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-001354/results.json
ar5090-20260322-002426	740bbe7925e087dd2a6ee3799a54f6c3cfb89bbce4b8159657ac05cda7b2b6f9	success	train	1.528687880	411.564729	426.069718	11827.878	0.000	66.908160	1089	17.500192	4	15320059	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-002426	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-002426/results.json
ar5090-20260322-003922	56c9744b3563be1daf905dd512be47893e520c075aee5c74c747b32e9d915689	success	train	1.529042934	411.554985	427.184114	11830.878	0.000	66.785280	1087	17.500192	4	12056475	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-003922	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-003922/results.json
ar5090-20260322-005354	b2e88c99302cf601be5f5843c5a657a5383be7bf7210b2cdbdb697c6026db20a	success	train	1.528887486	411.637449	427.718941	11827.878	0.000	67.031040	1091	17.500192	4	12065745	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-005354	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-005354/results.json
ar5090-20260322-010804	d4172e4daf8cd9d811f6afaf9dbb17dd9613392e4ab1249035f24247a0f8a398	success	train	1.528924090	411.716399	426.894432	11830.878	0.000	66.846720	1088	17.500192	4	11947328	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-010804	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-010804/results.json
ar5090-20260322-012148	87ff26e5e6e4040b2179589e5b4a78934e054f9719cacfff61ea043a0b06aba4	success	train	1.528763680	411.797610	427.319169	11830.878	0.000	66.908160	1089	17.500192	4	14190963	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-012148	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-012148/results.json
ar5090-20260322-013749	e5bda9de7d942129bb45757a3d2e414aa5a05fd91754d9e140f92fbfb96cf58a	success	train	1.528859218	411.526599	425.933264	11830.878	0.000	66.846720	1088	17.500192	4	15928964	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-013749	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-013749/results.json
ar5090-20260322-015338	ad495106901917c4ed7bbcc0f68fd6dbd016ec34e359d770dedd8a665d0def30	success	train	1.528722913	411.707618	427.236445	11827.878	0.000	67.031040	1091	17.500192	4	11948582	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-015338	/workspace/autoresearch-parameter-golf/runs/autoresearch_5090/runs/ar5090-20260322-015338/results.json
