timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/04/21 20:54:28.464, 2, 23, 345 MHz, 70.93 W, 0 %, 0 MiB
2026/04/21 20:54:28.464, 3, 21, 345 MHz, 68.20 W, 0 %, 0 MiB
2026/04/21 20:54:28.464, 4, 21, 345 MHz, 70.87 W, 0 %, 0 MiB
2026/04/21 20:54:28.464, 5, 24, 345 MHz, 70.05 W, 0 %, 0 MiB
2026/04/21 20:54:28.465, 6, 23, 345 MHz, 68.64 W, 0 %, 0 MiB
2026/04/21 20:54:28.465, 7, 21, 345 MHz, 69.50 W, 0 %, 0 MiB
2026/04/21 20:54:29.465, 0, 21, 345 MHz, 68.96 W, 0 %, 0 MiB
2026/04/21 20:54:29.466, 1, 24, 345 MHz, 70.28 W, 0 %, 0 MiB
2026/04/21 20:54:29.467, 2, 23, 345 MHz, 70.95 W, 0 %, 0 MiB
2026/04/21 20:54:29.467, 3, 21, 345 MHz, 68.31 W, 0 %, 0 MiB
2026/04/21 20:54:29.467, 4, 21, 345 MHz, 70.88 W, 0 %, 0 MiB
2026/04/21 20:54:29.467, 5, 24, 345 MHz, 70.12 W, 0 %, 0 MiB
2026/04/21 20:54:29.468, 6, 23, 345 MHz, 68.67 W, 0 %, 0 MiB
2026/04/21 20:54:29.468, 7, 21, 345 MHz, 69.46 W, 0 %, 0 MiB
2026/04/21 20:54:30.468, 0, 21, 345 MHz, 68.95 W, 0 %, 0 MiB
2026/04/21 20:54:30.469, 1, 24, 345 MHz, 70.31 W, 0 %, 0 MiB
2026/04/21 20:54:30.470, 2, 23, 345 MHz, 70.93 W, 0 %, 0 MiB
2026/04/21 20:54:30.470, 3, 21, 345 MHz, 68.24 W, 0 %, 0 MiB
2026/04/21 20:54:30.470, 4, 21, 345 MHz, 70.89 W, 0 %, 0 MiB
2026/04/21 20:54:30.470, 5, 24, 345 MHz, 70.01 W, 0 %, 0 MiB
2026/04/21 20:54:30.471, 6, 23, 345 MHz, 68.69 W, 0 %, 0 MiB
2026/04/21 20:54:30.471, 7, 21, 345 MHz, 69.48 W, 0 %, 0 MiB
2026/04/21 20:54:31.471, 0, 21, 345 MHz, 68.97 W, 0 %, 0 MiB
2026/04/21 20:54:31.472, 1, 24, 345 MHz, 70.26 W, 0 %, 0 MiB
2026/04/21 20:54:31.472, 2, 23, 345 MHz, 70.95 W, 0 %, 0 MiB
2026/04/21 20:54:31.473, 3, 21, 345 MHz, 68.27 W, 0 %, 0 MiB
2026/04/21 20:54:31.473, 4, 21, 345 MHz, 70.86 W, 0 %, 0 MiB
2026/04/21 20:54:31.473, 5, 24, 345 MHz, 70.04 W, 0 %, 0 MiB
2026/04/21 20:54:31.473, 6, 23, 345 MHz, 68.71 W, 0 %, 0 MiB
2026/04/21 20:54:31.474, 7, 21, 345 MHz, 69.47 W, 0 %, 0 MiB
2026/04/21 20:54:32.474, 0, 21, 345 MHz, 69.00 W, 0 %, 0 MiB
2026/04/21 20:54:32.475, 1, 24, 345 MHz, 70.22 W, 0 %, 0 MiB
2026/04/21 20:54:32.475, 2, 23, 345 MHz, 70.91 W, 0 %, 0 MiB
2026/04/21 20:54:32.476, 3, 21, 345 MHz, 68.27 W, 0 %, 0 MiB
2026/04/21 20:54:32.476, 4, 21, 345 MHz, 70.83 W, 0 %, 0 MiB
2026/04/21 20:54:32.476, 5, 24, 345 MHz, 70.04 W, 0 %, 0 MiB
2026/04/21 20:54:32.476, 6, 23, 345 MHz, 68.71 W, 0 %, 0 MiB
2026/04/21 20:54:32.477, 7, 21, 345 MHz, 69.43 W, 0 %, 0 MiB
2026/04/21 20:54:33.477, 0, 21, 345 MHz, 69.00 W, 0 %, 0 MiB
2026/04/21 20:54:33.478, 1, 24, 345 MHz, 70.24 W, 0 %, 0 MiB
2026/04/21 20:54:33.479, 2, 23, 345 MHz, 70.88 W, 0 %, 0 MiB
2026/04/21 20:54:33.479, 3, 21, 345 MHz, 68.22 W, 0 %, 0 MiB
2026/04/21 20:54:33.479, 4, 21, 345 MHz, 70.82 W, 0 %, 0 MiB
2026/04/21 20:54:33.479, 5, 24, 345 MHz, 70.05 W, 0 %, 0 MiB
2026/04/21 20:54:33.480, 6, 23, 345 MHz, 68.68 W, 0 %, 0 MiB
2026/04/21 20:54:33.480, 7, 21, 345 MHz, 69.49 W, 0 %, 0 MiB
2026/04/21 20:54:34.480, 0, 21, 345 MHz, 69.01 W, 0 %, 0 MiB
