batches_done,baseline,internal_only,attn_only,mlp_only,port_1695
583,1.0619,,,1.0609,
589,,1.0636,,,1.0554
591,,,,1.061,
593,,,,,1.0557
597,,1.0638,,,
598,1.0622,,,,
599,,,,1.0611,
602,,,,,1.0559
605,,1.0639,,,
606,1.0624,,,,
609,,,1.0622,1.0613,
611,,,,,1.0561
612,,1.0641,,,
615,1.0626,,,,
618,,,1.0624,1.0616,
619,,1.0643,,,
620,,,,,1.0563
623,1.0628,,,,
625,,,,1.0618,
626,,1.0646,,,
627,,,1.0626,,
628,,,,,1.0567
631,1.063,,,,
635,,1.0647,,1.062,
637,,,1.0629,,
638,,,,,1.0568
642,,,,1.0622,
643,,,1.0631,,1.057
644,1.0632,,,,
648,,1.0649,,,
649,,,,1.0623,
653,1.0634,,1.0633,,1.0572
656,,1.0651,,1.0625,
660,1.0636,,1.0635,,
662,,,,,1.0574
663,,,,1.0628,
664,,1.0652,,,
669,1.0637,,,,
671,,,1.0637,1.063,1.0576
673,,1.0655,,,
677,1.064,,,1.0632,
678,,,1.064,,1.0579
681,,1.0657,,,
685,1.0642,,,1.0634,
686,,,1.0643,,
687,,,,,1.058
689,,1.066,,,
694,,,1.0645,,
695,1.0644,,,1.0636,1.0582
701,,1.0661,,,
703,,,,,1.0584
704,,,1.0648,1.0639,
706,1.0646,,,,
710,,1.0663,,,
712,,,,,1.0587
714,,,,1.064,
715,1.0649,,,,
717,,,1.065,,
720,,1.0665,,,1.0589
721,,,,1.0643,
723,1.0651,,,,
724,,,1.0652,,
727,,1.0667,,,1.0592
729,,,,1.0645,
731,1.0653,,,,
733,,,1.0654,,
734,,1.067,,,
736,,,,1.0647,1.0594
740,1.0655,,,,
741,,,1.0656,,
742,,1.0671,,,
744,,,,1.0649,
746,,,,,1.0596
748,1.0657,,,,
749,,,1.0659,,
751,,,,1.0651,
752,,1.0674,,,
756,,,,,1.0599
757,,,1.0661,,
758,1.0658,,,1.0652,
761,,1.0676,,,
765,,,1.0663,,1.0602
766,,,,1.0654,
769,1.066,1.0678,,,
773,,,,,1.0604
774,,,,1.0657,
775,,,1.0665,,
778,1.0662,,,,
779,,1.0679,,,
781,1.0663,,,,
