timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/04/22 01:22:56.674, 2, 24, 345 MHz, 71.26 W, 0 %, 4 MiB
2026/04/22 01:22:56.674, 3, 21, 345 MHz, 68.43 W, 0 %, 4 MiB
2026/04/22 01:22:56.674, 4, 22, 345 MHz, 71.04 W, 0 %, 4 MiB
2026/04/22 01:22:56.675, 5, 26, 1980 MHz, 82.38 W, 0 %, 529 MiB
2026/04/22 01:22:56.675, 6, 24, 345 MHz, 68.79 W, 0 %, 4 MiB
2026/04/22 01:22:56.675, 7, 22, 345 MHz, 69.62 W, 0 %, 4 MiB
2026/04/22 01:22:57.676, 0, 22, 345 MHz, 69.16 W, 0 %, 4 MiB
2026/04/22 01:22:57.679, 1, 26, 1980 MHz, 107.90 W, 0 %, 529 MiB
2026/04/22 01:22:57.681, 2, 24, 345 MHz, 71.25 W, 0 %, 22 MiB
2026/04/22 01:22:57.682, 3, 21, 345 MHz, 68.34 W, 0 %, 4 MiB
2026/04/22 01:22:57.684, 4, 22, 345 MHz, 71.04 W, 0 %, 4 MiB
2026/04/22 01:22:57.719, 5, 26, 1980 MHz, 114.05 W, 0 %, 529 MiB
2026/04/22 01:22:57.720, 6, 24, 1980 MHz, 69.41 W, 0 %, 22 MiB
2026/04/22 01:22:57.720, 7, 22, 345 MHz, 69.66 W, 0 %, 4 MiB
2026/04/22 01:22:58.722, 0, 23, 1980 MHz, 105.62 W, 2 %, 725 MiB
2026/04/22 01:22:58.729, 1, 26, 1980 MHz, 115.27 W, 0 %, 725 MiB
2026/04/22 01:22:58.732, 2, 26, 1980 MHz, 119.01 W, 0 %, 725 MiB
2026/04/22 01:22:58.736, 3, 23, 1980 MHz, 107.73 W, 2 %, 725 MiB
2026/04/22 01:22:58.737, 4, 23, 1980 MHz, 102.49 W, 0 %, 627 MiB
2026/04/22 01:22:58.738, 5, 26, 1980 MHz, 114.12 W, 5 %, 725 MiB
2026/04/22 01:22:58.744, 6, 25, 1980 MHz, 119.08 W, 7 %, 725 MiB
2026/04/22 01:22:58.751, 7, 23, 1980 MHz, 110.42 W, 0 %, 725 MiB
2026/04/22 01:22:59.752, 0, 23, 1980 MHz, 113.19 W, 0 %, 969 MiB
2026/04/22 01:22:59.813, 1, 26, 1980 MHz, 115.24 W, 1 %, 969 MiB
2026/04/22 01:22:59.813, 2, 26, 1980 MHz, 116.88 W, 1 %, 969 MiB
2026/04/22 01:22:59.814, 3, 23, 1980 MHz, 110.64 W, 0 %, 969 MiB
2026/04/22 01:22:59.814, 4, 23, 1980 MHz, 116.70 W, 1 %, 969 MiB
2026/04/22 01:22:59.814, 5, 26, 1980 MHz, 114.19 W, 0 %, 969 MiB
2026/04/22 01:22:59.815, 6, 25, 1980 MHz, 117.01 W, 0 %, 969 MiB
2026/04/22 01:22:59.815, 7, 23, 1980 MHz, 112.08 W, 1 %, 969 MiB
2026/04/22 01:23:00.815, 0, 23, 1980 MHz, 113.41 W, 0 %, 1519 MiB
2026/04/22 01:23:00.816, 1, 26, 1980 MHz, 115.66 W, 0 %, 1519 MiB
2026/04/22 01:23:00.816, 2, 26, 1980 MHz, 117.26 W, 0 %, 1519 MiB
2026/04/22 01:23:00.816, 3, 23, 1980 MHz, 111.00 W, 0 %, 1519 MiB
2026/04/22 01:23:00.817, 4, 23, 1980 MHz, 117.01 W, 0 %, 1519 MiB
2026/04/22 01:23:00.817, 5, 26, 1980 MHz, 114.67 W, 0 %, 1519 MiB
2026/04/22 01:23:00.817, 6, 25, 1980 MHz, 117.59 W, 0 %, 1519 MiB
2026/04/22 01:23:00.818, 7, 23, 1980 MHz, 112.53 W, 0 %, 1519 MiB
2026/04/22 01:23:01.818, 0, 23, 1980 MHz, 112.82 W, 0 %, 1519 MiB
2026/04/22 01:23:01.819, 1, 26, 1980 MHz, 115.38 W, 1 %, 1721 MiB
2026/04/22 01:23:01.819, 2, 26, 1980 MHz, 117.18 W, 0 %, 1721 MiB
2026/04/22 01:23:01.819, 3, 23, 1980 MHz, 110.70 W, 0 %, 1721 MiB
2026/04/22 01:23:01.820, 4, 24, 1980 MHz, 116.67 W, 0 %, 1721 MiB
2026/04/22 01:23:01.820, 5, 27, 1980 MHz, 114.44 W, 0 %, 1721 MiB
2026/04/22 01:23:01.820, 6, 25, 1980 MHz, 117.02 W, 0 %, 1741 MiB
2026/04/22 01:23:01.821, 7, 23, 1980 MHz, 112.23 W, 1 %, 1721 MiB
2026/04/22 01:23:02.821, 0, 24, 1980 MHz, 113.12 W, 0 %, 1741 MiB
2026/04/22 01:23:02.822, 1, 26, 1980 MHz, 115.39 W, 0 %, 1741 MiB
2026/04/22 01:23:02.823, 2, 26, 1980 MHz, 116.97 W, 0 %, 1741 MiB
2026/04/22 01:23:02.823, 3, 23, 1980 MHz, 110.79 W, 0 %, 1741 MiB
2026/04/22 01:23:02.823, 4, 24, 1980 MHz, 116.76 W, 0 %, 1741 MiB
2026/04/22 01:23:02.824, 5, 27, 1980 MHz, 114.28 W, 0 %, 1741 MiB
2026/04/22 01:23:02.824, 6, 25, 1980 MHz, 117.12 W, 0 %, 1741 MiB
2026/04/22 01:23:02.824, 7, 23, 1980 MHz, 112.33 W, 0 %, 1741 MiB
2026/04/22 01:23:03.825, 0, 24, 1980 MHz, 113.09 W, 0 %, 1741 MiB
2026/04/22 01:23:03.825, 1, 26, 1980 MHz, 115.43 W, 0 %, 1741 MiB
2026/04/22 01:23:03.825, 2, 26, 1980 MHz, 117.00 W, 0 %, 1741 MiB
2026/04/22 01:23:03.826, 3, 23, 1980 MHz, 110.89 W, 0 %, 1741 MiB
2026/04/22 01:23:03.826, 4, 24, 1980 MHz, 116.75 W, 0 %, 1741 MiB
2026/04/22 01:23:03.826, 5, 27, 1980 MHz, 114.26 W, 0 %, 1741 MiB
2026/04/22 01:23:03.827, 6, 25, 1980 MHz, 117.07 W, 0 %, 1741 MiB
2026/04/22 01:23:03.827, 7, 23, 1980 MHz, 112.25 W, 0 %, 1741 MiB
2026/04/22 01:23:04.827, 0, 24, 1980 MHz, 113.08 W, 0 %, 1741 MiB
2026/04/22 01:23:04.829, 1, 26, 1980 MHz, 115.43 W, 0 %, 1741 MiB
2026/04/22 01:23:04.829, 2, 26, 1980 MHz, 117.10 W, 0 %, 1741 MiB
2026/04/22 01:23:04.829, 3, 23, 1980 MHz, 110.77 W, 0 %, 1741 MiB
2026/04/22 01:23:04.830, 4, 24, 1980 MHz, 116.80 W, 0 %, 1741 MiB
2026/04/22 01:23:04.830, 5, 27, 1980 MHz, 114.25 W, 0 %, 1741 MiB
2026/04/22 01:23:04.830, 6, 26, 1980 MHz, 117.12 W, 0 %, 1741 MiB
2026/04/22 01:23:04.831, 7, 23, 1980 MHz, 112.32 W, 0 %, 1741 MiB
2026/04/22 01:23:05.831, 0, 24, 1980 MHz, 113.06 W, 0 %, 1741 MiB
2026/04/22 01:23:05.832, 1, 26, 1980 MHz, 115.48 W, 0 %, 1741 MiB
2026/04/22 01:23:05.834, 2, 26, 1980 MHz, 117.11 W, 0 %, 1741 MiB
2026/04/22 01:23:05.835, 3, 23, 1980 MHz, 110.98 W, 0 %, 1741 MiB
2026/04/22 01:23:05.836, 4, 24, 1980 MHz, 116.81 W, 0 %, 1741 MiB
2026/04/22 01:23:05.837, 5, 27, 1980 MHz, 114.37 W, 0 %, 1741 MiB
2026/04/22 01:23:05.837, 6, 26, 1980 MHz, 117.21 W, 0 %, 1741 MiB
2026/04/22 01:23:05.837, 7, 23, 1980 MHz, 112.22 W, 0 %, 1741 MiB
2026/04/22 01:23:06.839, 0, 24, 1980 MHz, 113.26 W, 0 %, 1742 MiB
2026/04/22 01:23:06.844, 1, 26, 1980 MHz, 115.57 W, 0 %, 1742 MiB
2026/04/22 01:23:06.844, 2, 26, 1980 MHz, 117.20 W, 0 %, 1742 MiB
2026/04/22 01:23:06.845, 3, 23, 1980 MHz, 111.00 W, 0 %, 1742 MiB
2026/04/22 01:23:06.847, 4, 24, 1980 MHz, 116.85 W, 0 %, 1742 MiB
2026/04/22 01:23:06.848, 5, 27, 1980 MHz, 114.40 W, 0 %, 1742 MiB
2026/04/22 01:23:06.849, 6, 26, 1980 MHz, 117.22 W, 0 %, 1742 MiB
2026/04/22 01:23:06.906, 7, 23, 1980 MHz, 112.37 W, 0 %, 1742 MiB
2026/04/22 01:23:07.907, 0, 24, 1980 MHz, 113.26 W, 0 %, 1742 MiB
2026/04/22 01:23:07.909, 1, 26, 1980 MHz, 115.45 W, 0 %, 1742 MiB
2026/04/22 01:23:07.909, 2, 26, 1980 MHz, 117.13 W, 0 %, 1742 MiB
2026/04/22 01:23:07.909, 3, 23, 1980 MHz, 110.75 W, 0 %, 1742 MiB
2026/04/22 01:23:07.910, 4, 24, 1980 MHz, 116.80 W, 0 %, 1742 MiB
2026/04/22 01:23:07.910, 5, 27, 1980 MHz, 114.42 W, 0 %, 1742 MiB
2026/04/22 01:23:07.910, 6, 26, 1980 MHz, 117.24 W, 0 %, 1742 MiB
2026/04/22 01:23:07.910, 7, 23, 1980 MHz, 112.31 W, 0 %, 1742 MiB
2026/04/22 01:23:08.911, 0, 24, 1980 MHz, 113.21 W, 0 %, 1742 MiB
2026/04/22 01:23:08.912, 1, 26, 1980 MHz, 115.46 W, 0 %, 1742 MiB
2026/04/22 01:23:08.912, 2, 26, 1980 MHz, 117.14 W, 0 %, 1742 MiB
2026/04/22 01:23:08.913, 3, 23, 1980 MHz, 110.57 W, 0 %, 1742 MiB
2026/04/22 01:23:08.913, 4, 24, 1980 MHz, 116.80 W, 0 %, 1742 MiB
2026/04/22 01:23:08.913, 5, 27, 1980 MHz, 114.37 W, 0 %, 1742 MiB
2026/04/22 01:23:08.913, 6, 26, 1980 MHz, 117.17 W, 0 %, 1742 MiB
2026/04/22 01:23:08.914, 7, 23, 1980 MHz, 112.41 W, 0 %, 1742 MiB
2026/04/22 01:23:09.914, 0, 24, 1980 MHz, 113.32 W, 0 %, 1742 MiB
2026/04/22 01:23:09.914, 1, 27, 1980 MHz, 115.44 W, 1 %, 1742 MiB
2026/04/22 01:23:09.915, 2, 26, 1980 MHz, 117.19 W, 0 %, 1742 MiB
2026/04/22 01:23:09.915, 3, 23, 1980 MHz, 110.62 W, 0 %, 1742 MiB
2026/04/22 01:23:09.915, 4, 24, 1980 MHz, 116.84 W, 0 %, 1742 MiB
2026/04/22 01:23:09.916, 5, 27, 1980 MHz, 114.38 W, 0 %, 1742 MiB
2026/04/22 01:23:09.916, 6, 26, 1980 MHz, 117.21 W, 0 %, 1742 MiB
2026/04/22 01:23:09.916, 7, 23, 1980 MHz, 112.32 W, 0 %, 1742 MiB
2026/04/22 01:23:10.916, 0, 24, 1980 MHz, 113.09 W, 0 %, 1742 MiB
2026/04/22 01:23:10.918, 1, 27, 1980 MHz, 115.54 W, 0 %, 1742 MiB
2026/04/22 01:23:10.918, 2, 26, 1980 MHz, 117.20 W, 0 %, 1742 MiB
2026/04/22 01:23:10.919, 3, 23, 1980 MHz, 110.62 W, 0 %, 1742 MiB
2026/04/22 01:23:10.919, 4, 24, 1980 MHz, 116.83 W, 0 %, 1742 MiB
2026/04/22 01:23:10.919, 5, 27, 1980 MHz, 114.32 W, 0 %, 1742 MiB
2026/04/22 01:23:10.919, 6, 26, 1980 MHz, 117.18 W, 0 %, 1742 MiB
2026/04/22 01:23:10.920, 7, 23, 1980 MHz, 112.37 W, 0 %, 1742 MiB
2026/04/22 01:23:11.920, 0, 24, 1980 MHz, 113.33 W, 0 %, 1742 MiB
2026/04/22 01:23:11.921, 1, 27, 1980 MHz, 115.50 W, 0 %, 1742 MiB
2026/04/22 01:23:11.922, 2, 26, 1980 MHz, 117.22 W, 0 %, 1742 MiB
2026/04/22 01:23:11.922, 3, 23, 1980 MHz, 110.74 W, 0 %, 1742 MiB
2026/04/22 01:23:11.922, 4, 24, 1980 MHz, 116.81 W, 0 %, 1742 MiB
2026/04/22 01:23:11.922, 5, 27, 1980 MHz, 114.35 W, 0 %, 1742 MiB
2026/04/22 01:23:11.923, 6, 26, 1980 MHz, 116.77 W, 0 %, 1742 MiB
2026/04/22 01:23:11.923, 7, 23, 1980 MHz, 112.27 W, 0 %, 1742 MiB
2026/04/22 01:23:12.923, 0, 24, 1980 MHz, 113.12 W, 0 %, 1742 MiB
2026/04/22 01:23:12.924, 1, 27, 1980 MHz, 115.44 W, 0 %, 1742 MiB
2026/04/22 01:23:12.925, 2, 27, 1980 MHz, 117.27 W, 0 %, 1742 MiB
2026/04/22 01:23:12.925, 3, 23, 1980 MHz, 110.85 W, 0 %, 1742 MiB
2026/04/22 01:23:12.925, 4, 24, 1980 MHz, 116.79 W, 0 %, 1742 MiB
2026/04/22 01:23:12.926, 5, 27, 1980 MHz, 114.44 W, 0 %, 1742 MiB
2026/04/22 01:23:12.926, 6, 26, 1980 MHz, 116.62 W, 0 %, 1742 MiB
2026/04/22 01:23:12.926, 7, 23, 1980 MHz, 112.33 W, 0 %, 1742 MiB
2026/04/22 01:23:13.927, 0, 24, 1980 MHz, 113.27 W, 0 %, 1742 MiB
2026/04/22 01:23:13.928, 1, 27, 1980 MHz, 115.49 W, 0 %, 1742 MiB
2026/04/22 01:23:13.928, 2, 27, 1980 MHz, 117.27 W, 0 %, 1742 MiB
2026/04/22 01:23:13.929, 3, 23, 1980 MHz, 110.67 W, 0 %, 1742 MiB
2026/04/22 01:23:13.929, 4, 24, 1980 MHz, 116.82 W, 0 %, 1742 MiB
2026/04/22 01:23:13.929, 5, 27, 1980 MHz, 114.43 W, 0 %, 1742 MiB
2026/04/22 01:23:13.930, 6, 26, 1980 MHz, 116.61 W, 0 %, 1742 MiB
2026/04/22 01:23:13.930, 7, 23, 1980 MHz, 112.27 W, 0 %, 1742 MiB
2026/04/22 01:23:14.930, 0, 24, 1980 MHz, 113.17 W, 0 %, 1742 MiB
2026/04/22 01:23:14.932, 1, 27, 1980 MHz, 115.48 W, 0 %, 1742 MiB
2026/04/22 01:23:14.932, 2, 27, 1980 MHz, 117.24 W, 0 %, 1742 MiB
2026/04/22 01:23:14.932, 3, 23, 1980 MHz, 110.77 W, 0 %, 1742 MiB
2026/04/22 01:23:14.932, 4, 24, 1980 MHz, 116.86 W, 0 %, 1742 MiB
2026/04/22 01:23:14.932, 5, 27, 1980 MHz, 114.49 W, 0 %, 1742 MiB
2026/04/22 01:23:14.933, 6, 26, 1980 MHz, 116.59 W, 0 %, 1742 MiB
2026/04/22 01:23:14.933, 7, 24, 1980 MHz, 112.45 W, 0 %, 1742 MiB
2026/04/22 01:23:15.933, 0, 24, 1980 MHz, 113.12 W, 0 %, 1742 MiB
2026/04/22 01:23:15.935, 1, 27, 1980 MHz, 115.48 W, 0 %, 1742 MiB
2026/04/22 01:23:15.935, 2, 27, 1980 MHz, 117.33 W, 0 %, 1742 MiB
2026/04/22 01:23:15.935, 3, 23, 1980 MHz, 110.78 W, 0 %, 1742 MiB
2026/04/22 01:23:15.935, 4, 24, 1980 MHz, 116.88 W, 0 %, 1742 MiB
2026/04/22 01:23:15.936, 5, 27, 1980 MHz, 114.46 W, 0 %, 1742 MiB
2026/04/22 01:23:15.936, 6, 26, 1980 MHz, 116.63 W, 0 %, 1742 MiB
2026/04/22 01:23:15.936, 7, 24, 1980 MHz, 112.26 W, 0 %, 1742 MiB
2026/04/22 01:23:16.937, 0, 24, 1980 MHz, 113.21 W, 0 %, 1742 MiB
2026/04/22 01:23:16.938, 1, 27, 1980 MHz, 115.56 W, 0 %, 1742 MiB
2026/04/22 01:23:16.938, 2, 27, 1980 MHz, 117.27 W, 0 %, 1742 MiB
2026/04/22 01:23:16.938, 3, 23, 1980 MHz, 110.62 W, 0 %, 1742 MiB
2026/04/22 01:23:16.939, 4, 24, 1980 MHz, 116.90 W, 0 %, 1742 MiB
2026/04/22 01:23:16.939, 5, 27, 1980 MHz, 114.48 W, 0 %, 1742 MiB
2026/04/22 01:23:16.939, 6, 26, 1980 MHz, 116.67 W, 0 %, 1742 MiB
2026/04/22 01:23:16.940, 7, 24, 1980 MHz, 112.44 W, 0 %, 1742 MiB
2026/04/22 01:23:17.940, 0, 24, 1980 MHz, 113.38 W, 0 %, 1742 MiB
2026/04/22 01:23:17.941, 1, 27, 1980 MHz, 115.58 W, 0 %, 1742 MiB
2026/04/22 01:23:17.941, 2, 27, 1980 MHz, 117.32 W, 0 %, 1742 MiB
2026/04/22 01:23:17.942, 3, 23, 1980 MHz, 110.80 W, 0 %, 1742 MiB
2026/04/22 01:23:17.942, 4, 24, 1980 MHz, 116.92 W, 0 %, 1742 MiB
2026/04/22 01:23:17.942, 5, 27, 1980 MHz, 114.45 W, 0 %, 1742 MiB
2026/04/22 01:23:17.943, 6, 26, 1980 MHz, 116.70 W, 0 %, 1742 MiB
2026/04/22 01:23:17.943, 7, 24, 1980 MHz, 112.34 W, 0 %, 1742 MiB
2026/04/22 01:23:18.943, 0, 24, 1980 MHz, 113.28 W, 0 %, 1742 MiB
2026/04/22 01:23:18.944, 1, 27, 1980 MHz, 115.56 W, 0 %, 1742 MiB
2026/04/22 01:23:18.945, 2, 27, 1980 MHz, 117.37 W, 0 %, 1742 MiB
2026/04/22 01:23:18.945, 3, 23, 1980 MHz, 110.87 W, 0 %, 1742 MiB
2026/04/22 01:23:18.946, 4, 24, 1980 MHz, 116.86 W, 0 %, 1742 MiB
2026/04/22 01:23:18.946, 5, 27, 1980 MHz, 114.46 W, 0 %, 1742 MiB
2026/04/22 01:23:18.946, 6, 26, 1980 MHz, 116.72 W, 0 %, 1742 MiB
2026/04/22 01:23:18.947, 7, 24, 1980 MHz, 112.43 W, 0 %, 1742 MiB
2026/04/22 01:23:19.947, 0, 24, 1980 MHz, 113.23 W, 0 %, 1742 MiB
2026/04/22 01:23:19.948, 1, 27, 1980 MHz, 115.52 W, 0 %, 1742 MiB
2026/04/22 01:23:19.948, 2, 27, 1980 MHz, 117.36 W, 0 %, 1742 MiB
2026/04/22 01:23:19.948, 3, 23, 1980 MHz, 110.85 W, 0 %, 1742 MiB
2026/04/22 01:23:19.949, 4, 24, 1980 MHz, 116.82 W, 0 %, 1742 MiB
2026/04/22 01:23:19.949, 5, 27, 1980 MHz, 114.53 W, 0 %, 1742 MiB
2026/04/22 01:23:19.949, 6, 26, 1980 MHz, 116.66 W, 0 %, 1742 MiB
2026/04/22 01:23:19.950, 7, 24, 1980 MHz, 112.38 W, 0 %, 1742 MiB
2026/04/22 01:23:20.950, 0, 24, 1980 MHz, 113.11 W, 0 %, 1742 MiB
2026/04/22 01:23:20.951, 1, 27, 1980 MHz, 115.53 W, 0 %, 1742 MiB
2026/04/22 01:23:20.951, 2, 27, 1980 MHz, 117.38 W, 0 %, 1742 MiB
2026/04/22 01:23:20.951, 3, 23, 1980 MHz, 110.82 W, 0 %, 1742 MiB
