params=7,311,756 est_fp16_artifact=13.95MB
train_loader pattern=./data/datasets/fineweb10B_sp1024/fineweb_train_*.bin
val_loader pattern=./data/datasets/fineweb10B_sp1024/fineweb_val_*.bin tokens=62021632
training window: start_g=0 target_g=1000000000 run_update_budget=125000000
u=1820 g=14560 loss=12.7083 lr=0.0003 tok/step=32768
u=1840 g=14720 loss=12.4354 lr=0.0003 tok/step=32768
u=1860 g=14880 loss=12.0818 lr=0.0003 tok/step=32768
u=1880 g=15040 loss=11.8807 lr=0.0003 tok/step=32768
u=1900 g=15200 loss=11.4683 lr=0.0003 tok/step=32768
u=1920 g=15360 loss=11.1361 lr=0.0003 tok/step=32768
u=1940 g=15520 loss=10.9447 lr=0.0003 tok/step=32768
u=1960 g=15680 loss=10.5608 lr=0.0003 tok/step=32768
u=1980 g=15840 loss=10.4081 lr=0.0003 tok/step=32768
u=2000 g=16000 loss=10.1745 lr=0.0003 tok/step=32768
u=2020 g=16160 loss=9.9562 lr=0.0003 tok/step=32768
u=2040 g=16320 loss=9.6577 lr=0.0003 tok/step=32768
u=2060 g=16480 loss=9.4109 lr=0.0003 tok/step=32768
u=2080 g=16640 loss=9.1963 lr=0.0003 tok/step=32768
u=2100 g=16800 loss=8.9375 lr=0.0003 tok/step=32768
u=2120 g=16960 loss=8.6152 lr=0.0003 tok/step=32768
u=2140 g=17120 loss=8.4183 lr=0.0003 tok/step=32768
u=2160 g=17280 loss=8.1956 lr=0.0003 tok/step=32768
u=2180 g=17440 loss=8.3340 lr=0.0003 tok/step=32768
u=2200 g=17600 loss=7.8351 lr=0.0003 tok/step=32768
u=2220 g=17760 loss=7.8862 lr=0.0003 tok/step=32768
u=2240 g=17920 loss=7.4152 lr=0.0003 tok/step=32768
u=2260 g=18080 loss=7.1568 lr=0.0003 tok/step=32768
u=2280 g=18240 loss=6.9565 lr=0.0003 tok/step=32768
u=2300 g=18400 loss=6.6530 lr=0.0003 tok/step=32768
u=2320 g=18560 loss=6.4521 lr=0.0003 tok/step=32768
u=2340 g=18720 loss=6.3537 lr=0.0003 tok/step=32768
u=2360 g=18880 loss=6.1260 lr=0.0003 tok/step=32768
u=2380 g=19040 loss=5.9332 lr=0.0003 tok/step=32768
u=2400 g=19200 loss=5.8193 lr=0.0003 tok/step=32768
u=2420 g=19360 loss=5.6607 lr=0.0003 tok/step=32768
u=2440 g=19520 loss=5.4499 lr=0.0003 tok/step=32768
u=2460 g=19680 loss=5.4121 lr=0.0003 tok/step=32768
u=2480 g=19840 loss=5.4589 lr=0.0003 tok/step=32768
u=2500 g=20000 loss=5.0529 lr=0.0003 tok/step=32768
u=2520 g=20160 loss=4.7995 lr=0.0003 tok/step=32768
u=2540 g=20320 loss=4.6730 lr=0.0003 tok/step=32768
u=2560 g=20480 loss=4.5459 lr=0.0003 tok/step=32768
u=2580 g=20640 loss=4.4038 lr=0.0003 tok/step=32768
u=2600 g=20800 loss=4.2433 lr=0.0003 tok/step=32768
u=2620 g=20960 loss=4.1218 lr=0.0003 tok/step=32768
u=2640 g=21120 loss=4.0502 lr=0.0003 tok/step=32768
u=2660 g=21280 loss=3.9637 lr=0.0003 tok/step=32768
u=2680 g=21440 loss=3.7436 lr=0.0003 tok/step=32768
u=2700 g=21600 loss=3.5724 lr=0.0003 tok/step=32768
u=2720 g=21760 loss=3.5173 lr=0.0003 tok/step=32768
u=2740 g=21920 loss=3.3974 lr=0.0003 tok/step=32768
u=2760 g=22080 loss=3.2778 lr=0.0003 tok/step=32768
u=2780 g=22240 loss=3.1452 lr=0.0003 tok/step=32768
u=2800 g=22400 loss=3.0078 lr=0.0003 tok/step=32768
u=2820 g=22560 loss=2.9533 lr=0.0003 tok/step=32768
u=2840 g=22720 loss=2.7628 lr=0.0003 tok/step=32768
u=2860 g=22880 loss=2.7270 lr=0.0003 tok/step=32768
u=2880 g=23040 loss=2.6877 lr=0.0003 tok/step=32768
u=2900 g=23200 loss=2.6161 lr=0.0003 tok/step=32768
u=2920 g=23360 loss=2.4683 lr=0.0003 tok/step=32768
u=2940 g=23520 loss=2.4310 lr=0.0003 tok/step=32768
u=2960 g=23680 loss=2.3159 lr=0.0003 tok/step=32768
u=2980 g=23840 loss=2.2416 lr=0.0003 tok/step=32768
u=3000 g=24000 loss=2.2847 lr=0.0003 tok/step=32768
u=3020 g=24160 loss=2.0388 lr=0.0003 tok/step=32768
u=3040 g=24320 loss=2.0592 lr=0.0003 tok/step=32768
u=3060 g=24480 loss=1.9096 lr=0.0003 tok/step=32768
u=3080 g=24640 loss=1.9382 lr=0.0003 tok/step=32768
u=3100 g=24800 loss=1.7996 lr=0.0003 tok/step=32768
u=3120 g=24960 loss=1.7966 lr=0.0003 tok/step=32768
u=3140 g=25120 loss=1.7219 lr=0.0003 tok/step=32768
u=3160 g=25280 loss=1.8091 lr=0.0003 tok/step=32768
u=3180 g=25440 loss=1.5992 lr=0.0003 tok/step=32768
u=3200 g=25600 loss=1.4697 lr=0.0003 tok/step=32768
u=3220 g=25760 loss=1.4003 lr=0.0003 tok/step=32768
u=3240 g=25920 loss=1.3724 lr=0.0003 tok/step=32768
u=3260 g=26080 loss=1.3946 lr=0.0003 tok/step=32768
u=3280 g=26240 loss=1.3770 lr=0.0003 tok/step=32768
u=3300 g=26400 loss=1.2452 lr=0.0003 tok/step=32768
u=3320 g=26560 loss=1.1731 lr=0.0003 tok/step=32768
u=3340 g=26720 loss=1.0874 lr=0.0003 tok/step=32768
u=3360 g=26880 loss=1.0665 lr=0.0003 tok/step=32768
u=3380 g=27040 loss=1.0482 lr=0.0003 tok/step=32768
u=3400 g=27200 loss=0.9859 lr=0.0003 tok/step=32768
u=3420 g=27360 loss=1.0515 lr=0.0003 tok/step=32768
u=3440 g=27520 loss=0.9460 lr=0.0003 tok/step=32768
u=3460 g=27680 loss=0.8886 lr=0.0003 tok/step=32768
u=3480 g=27840 loss=0.9999 lr=0.0003 tok/step=32768
u=3500 g=28000 loss=1.0158 lr=0.0003 tok/step=32768
u=3520 g=28160 loss=0.8105 lr=0.0003 tok/step=32768
u=3540 g=28320 loss=0.7897 lr=0.0003 tok/step=32768
u=3560 g=28480 loss=0.7706 lr=0.0003 tok/step=32768
u=3580 g=28640 loss=0.6792 lr=0.0003 tok/step=32768
u=3600 g=28800 loss=0.8193 lr=0.0003 tok/step=32768
u=3620 g=28960 loss=0.6570 lr=0.0003 tok/step=32768
u=3640 g=29120 loss=0.6505 lr=0.0003 tok/step=32768
u=3660 g=29280 loss=0.6552 lr=0.0003 tok/step=32768
u=3680 g=29440 loss=0.6386 lr=0.0003 tok/step=32768
u=3700 g=29600 loss=0.6021 lr=0.0003 tok/step=32768
u=3720 g=29760 loss=0.5551 lr=0.0003 tok/step=32768
u=3740 g=29920 loss=0.5313 lr=0.0003 tok/step=32768
u=3760 g=30080 loss=0.6914 lr=0.0003 tok/step=32768
u=3780 g=30240 loss=0.6463 lr=0.0003 tok/step=32768
u=3800 g=30400 loss=0.4717 lr=0.0003 tok/step=32768
u=3820 g=30560 loss=0.5228 lr=0.0003 tok/step=32768
u=3840 g=30720 loss=0.4409 lr=0.0003 tok/step=32768
u=3860 g=30880 loss=0.5109 lr=0.0003 tok/step=32768
u=3880 g=31040 loss=0.4207 lr=0.0003 tok/step=32768
u=3900 g=31200 loss=0.3899 lr=0.0003 tok/step=32768
u=3920 g=31360 loss=0.3980 lr=0.0003 tok/step=32768
u=3940 g=31520 loss=0.3524 lr=0.0003 tok/step=32768
