==========================================================================
  Cheap Multi-GPU Small SKC Run
  RUN_ID : small_skc_2gpu_s42_20260407_053520
  MODEL  : SKC L=8 D=256 H=4/2
  SKC    : block=16 caps=8 cap_dim=64
  ENGRAM : buckets=3072 dim=112 orders=3
  TERNARY: train_align=0@0.85 thr_search=0 scale_search=0
  CURR   : 64 -> 128 -> 256 @ 35% / 65%
  BATCH  : 8192 tok/step  seq=256
  VRAM   : min_gpu_mem=141GB  val_batch=32768
  BUDGET : 45s
  SEED   : 42
  GPUS   : 1
  EXPORT : turbo=1 hess=0 sliding=0 ngram=0
  SMOKE  : 1
==========================================================================
logs/cuda/small_skc_2gpu_s42_20260407_053520.txt
Muon optimizer: matrix_lr=0.02 scalar_lr=0.015 embed_lr=0.035 scalar_decay=31 engram_scalar=12
params:3810120 L:8 d:256 h:4 kv:2 ws:1 ga:1 s:42
step:93/500000 loss:5.2566 t:6680ms avg:71.8ms
step:94/500000 loss:5.2886 t:6750ms avg:71.8ms
step:95/500000 loss:5.2916 t:6813ms avg:71.7ms
step:96/500000 loss:5.2102 t:6873ms avg:71.6ms
step:97/500000 loss:5.1781 t:6937ms avg:71.5ms
step:98/500000 loss:5.1880 t:6995ms avg:71.4ms
step:99/500000 loss:5.0393 t:7058ms avg:71.3ms
step:100/500000 loss:5.3583 t:7126ms avg:71.3ms
step:101/500000 loss:5.4369 t:7185ms avg:71.1ms
step:102/500000 loss:5.4815 t:7249ms avg:71.1ms
step:103/500000 loss:5.2827 t:7309ms avg:71.0ms
step:104/500000 loss:5.2852 t:7373ms avg:70.9ms
step:105/500000 loss:5.0840 t:7439ms avg:70.8ms
step:106/500000 loss:5.1699 t:7497ms avg:70.7ms
step:107/500000 loss:5.0972 t:7562ms avg:70.7ms
step:108/500000 loss:5.0718 t:7627ms avg:70.6ms
step:109/500000 loss:5.1394 t:7685ms avg:70.5ms
step:110/500000 loss:4.9810 t:7752ms avg:70.5ms
step:111/500000 loss:5.0159 t:7820ms avg:70.5ms
step:112/500000 loss:5.0342 t:7879ms avg:70.3ms
step:113/500000 loss:5.0141 t:7943ms avg:70.3ms
step:114/500000 loss:5.0826 t:8003ms avg:70.2ms
step:115/500000 loss:4.9392 t:8067ms avg:70.1ms
step:116/500000 loss:4.9938 t:8133ms avg:70.1ms
step:117/500000 loss:4.9609 t:8191ms avg:70.0ms
step:118/500000 loss:5.0279 t:8259ms avg:70.0ms
step:119/500000 loss:4.9289 t:8325ms avg:70.0ms
step:120/500000 loss:4.8310 t:8384ms avg:69.9ms
step:121/500000 loss:4.9275 t:8446ms avg:69.8ms
step:122/500000 loss:4.8816 t:8507ms avg:69.7ms
step:123/500000 loss:4.8981 t:8569ms avg:69.7ms
step:124/500000 loss:4.8442 t:8635ms avg:69.6ms
step:125/500000 loss:4.8139 t:8693ms avg:69.5ms
step:126/500000 loss:4.8135 t:8759ms avg:69.5ms
step:127/500000 loss:4.7617 t:8823ms avg:69.5ms
step:128/500000 loss:4.8273 t:8881ms avg:69.4ms
step:129/500000 loss:4.9321 t:8948ms avg:69.4ms
step:130/500000 loss:4.7967 t:9010ms avg:69.3ms
step:131/500000 loss:4.7766 t:9073ms avg:69.3ms
step:132/500000 loss:4.7701 t:9138ms avg:69.2ms
step:133/500000 loss:4.7428 t:9197ms avg:69.1ms
step:134/500000 loss:4.7968 t:9264ms avg:69.1ms
step:135/500000 loss:4.6994 t:9331ms avg:69.1ms
step:136/500000 loss:4.7173 t:9390ms avg:69.0ms
step:137/500000 loss:4.7473 t:9453ms avg:69.0ms
step:138/500000 loss:4.8014 t:9517ms avg:69.0ms
step:139/500000 loss:4.6694 t:9580ms avg:68.9ms
step:140/500000 loss:4.6029 t:9644ms avg:68.9ms
step:141/500000 loss:4.6572 t:9703ms avg:68.8ms
step:142/500000 loss:4.8256 t:9767ms avg:68.8ms
step:143/500000 loss:4.7468 t:9833ms avg:68.8ms
step:144/500000 loss:4.7329 t:9891ms avg:68.7ms
step:145/500000 loss:4.7251 t:9956ms avg:68.7ms
step:146/500000 loss:4.6953 t:10018ms avg:68.6ms
step:147/500000 loss:4.4463 t:10080ms avg:68.6ms
step:148/500000 loss:4.3888 t:10145ms avg:68.5ms
step:149/500000 loss:4.9041 t:10207ms avg:68.5ms
step:150/500000 loss:4.7830 t:10271ms avg:68.5ms
step:151/500000 loss:4.6128 t:10337ms avg:68.5ms
step:152/500000 loss:4.7756 t:10396ms avg:68.4ms
step:153/500000 loss:4.4751 t:10460ms avg:68.4ms
step:154/500000 loss:4.5702 t:10525ms avg:68.3ms
step:155/500000 loss:4.5531 t:10585ms avg:68.3ms
step:156/500000 loss:4.5179 t:10651ms avg:68.3ms
step:157/500000 loss:4.7684 t:10716ms avg:68.3ms
step:158/500000 loss:4.6087 t:10778ms avg:68.2ms
step:159/500000 loss:4.4861 t:10843ms avg:68.2ms
step:160/500000 loss:4.5424 t:10903ms avg:68.1ms
step:161/500000 loss:4.5253 t:10965ms avg:68.1ms
step:162/500000 loss:4.6520 t:11029ms avg:68.1ms
step:163/500000 loss:4.5875 t:11088ms avg:68.0ms
step:164/500000 loss:4.6193 t:11154ms avg:68.0ms
step:165/500000 loss:4.5195 t:11219ms avg:68.0ms
step:166/500000 loss:4.6427 t:11281ms avg:68.0ms
step:167/500000 loss:4.5527 t:11346ms avg:67.9ms
step:168/500000 loss:4.4847 t:11411ms avg:67.9ms
step:169/500000 loss:4.6035 t:11471ms avg:67.9ms
step:170/500000 loss:4.5264 t:11541ms avg:67.9ms
step:171/500000 loss:4.6361 t:11602ms avg:67.8ms
step:172/500000 loss:4.4935 t:11666ms avg:67.8ms
step:173/500000 loss:4.5076 t:11732ms avg:67.8ms
step:174/500000 loss:4.5107 t:11790ms avg:67.8ms
step:175/500000 loss:4.3044 t:11858ms avg:67.8ms
step:176/500000 loss:4.5164 t:11924ms avg:67.8ms
step:177/500000 loss:4.5509 t:11983ms avg:67.7ms
step:178/500000 loss:4.5540 t:12046ms avg:67.7ms
step:179/500000 loss:4.4558 t:12106ms avg:67.6ms
step:180/500000 loss:4.5226 t:12166ms avg:67.6ms
step:181/500000 loss:4.3914 t:12232ms avg:67.6ms
step:182/500000 loss:4.6352 t:12290ms avg:67.5ms
step:183/500000 loss:4.5759 t:12354ms avg:67.5ms
step:184/500000 loss:4.5604 t:12419ms avg:67.5ms
step:185/500000 loss:4.3999 t:12477ms avg:67.4ms
step:186/500000 loss:4.4021 t:12544ms avg:67.4ms
step:187/500000 loss:4.4304 t:12607ms avg:67.4ms
step:188/500000 loss:4.4498 t:12671ms avg:67.4ms
step:189/500000 loss:4.3702 t:12736ms avg:67.4ms
step:190/500000 loss:4.2961 t:12794ms avg:67.3ms
step:191/500000 loss:4.3320 t:12856ms avg:67.3ms
step:192/500000 loss:4.3786 t:12921ms avg:67.3ms
step:193/500000 loss:4.4053 t:12979ms avg:67.3ms
step:194/500000 loss:4.4094 t:13042ms avg:67.2ms
step:195/500000 loss:4.4865 t:13101ms avg:67.2ms
step:196/500000 loss:4.4278 t:13162ms avg:67.2ms
step:197/500000 loss:4.3362 t:13230ms avg:67.2ms
step:198/500000 loss:4.4095 t:13288ms avg:67.1ms
step:199/500000 loss:4.3116 t:13351ms avg:67.1ms
step:200/500000 loss:4.2177 t:13413ms avg:67.1ms
step:201/500000 loss:4.0972 t:13473ms avg:67.0ms
step:202/500000 loss:4.2483 t:13539ms avg:67.0ms
step:203/500000 loss:4.6594 t:13597ms avg:67.0ms
step:204/500000 loss:4.4325 t:13663ms avg:67.0ms
step:205/500000 loss:4.3132 t:13728ms avg:67.0ms
step:206/500000 loss:4.3009 t:13785ms avg:66.9ms
step:207/500000 loss:4.2628 t:13848ms avg:66.9ms
step:208/500000 loss:4.3597 t:13912ms avg:66.9ms
step:209/500000 loss:4.3071 t:13974ms avg:66.9ms
step:210/500000 loss:4.1758 t:14039ms avg:66.9ms
step:211/500000 loss:4.1489 t:14097ms avg:66.8ms
step:212/500000 loss:4.2628 t:14164ms avg:66.8ms
step:213/500000 loss:4.1586 t:14228ms avg:66.8ms
step:214/500000 loss:4.4330 t:14286ms avg:66.8ms
step:215/500000 loss:4.2645 t:14352ms avg:66.8ms
step:216/500000 loss:4.3367 t:14417ms avg:66.7ms
step:217/500000 loss:4.3244 t:14475ms avg:66.7ms
step:218/500000 loss:4.3226 t:14539ms avg:66.7ms
step:219/500000 loss:4.3227 t:14597ms avg:66.7ms
step:220/500000 loss:4.2626 t:14662ms avg:66.6ms
step:221/500000 loss:4.1062 t:14726ms avg:66.6ms
step:222/500000 loss:4.0249 t:14784ms avg:66.6ms
step:223/500000 loss:4.1249 t:14844ms avg:66.6ms
step:224/500000 loss:4.1022 t:14898ms avg:66.5ms
step:225/500000 loss:4.1368 t:14956ms avg:66.5ms
step:226/500000 loss:4.1314 t:15018ms avg:66.5ms
step:227/500000 loss:4.1388 t:15075ms avg:66.4ms
step:228/500000 loss:4.3210 t:15139ms avg:66.4ms
step:229/500000 loss:4.2782 t:15197ms avg:66.4ms
step:230/500000 loss:4.1450 t:15262ms avg:66.4ms
step:231/500000 loss:4.0991 t:15327ms avg:66.4ms
step:232/500000 loss:3.9520 t:15385ms avg:66.3ms
step:233/500000 loss:4.0209 t:15449ms avg:66.3ms
step:234/500000 loss:4.0243 t:15511ms avg:66.3ms
step:235/500000 loss:4.0748 t:15573ms avg:66.3ms
step:236/500000 loss:4.0631 t:15637ms avg:66.3ms
step:237/500000 loss:4.3664 t:15696ms avg:66.2ms
step:238/500000 loss:4.2758 t:15761ms avg:66.2ms
step:239/500000 loss:4.2809 t:15830ms avg:66.2ms
step:240/500000 loss:4.1195 t:15891ms avg:66.2ms
step:241/500000 loss:4.1863 t:15959ms avg:66.2ms
step:242/500000 loss:4.4962 t:16028ms avg:66.2ms
step:243/500000 loss:4.2466 t:16088ms avg:66.2ms
step:244/500000 loss:4.5961 t:16155ms avg:66.2ms
step:245/500000 loss:4.1118 t:16222ms avg:66.2ms
step:246/500000 loss:4.1664 t:16283ms avg:66.2ms
step:247/500000 loss:4.2756 t:16349ms avg:66.2ms
step:248/500000 loss:4.1979 t:16414ms avg:66.2ms
step:249/500000 loss:4.2760 t:16476ms avg:66.2ms
step:250/500000 loss:4.2464 t:16543ms avg:66.2ms
step:251/500000 loss:4.3856 t:16607ms avg:66.2ms
step:252/500000 loss:4.0339 t:16671ms avg:66.2ms
step:253/500000 loss:4.0259 t:16738ms avg:66.2ms
step:254/500000 loss:4.0679 t:16798ms avg:66.1ms
step:255/500000 loss:3.9995 t:16865ms avg:66.1ms
step:256/500000 loss:4.1061 t:16934ms avg:66.1ms
step:257/500000 loss:4.3285 t:16994ms avg:66.1ms
step:258/500000 loss:4.1101 t:17060ms avg:66.1ms
step:259/500000 loss:4.2788 t:17127ms avg:66.1ms
step:260/500000 loss:4.2234 t:17188ms avg:66.1ms
step:261/500000 loss:4.1649 t:17255ms avg:66.1ms
step:262/500000 loss:4.2039 t:17324ms avg:66.1ms
step:263/500000 loss:4.1599 t:17385ms avg:66.1ms
step:264/500000 loss:4.1200 t:17450ms avg:66.1ms
step:265/500000 loss:3.9983 t:17517ms avg:66.1ms
step:266/500000 loss:4.1732 t:17579ms avg:66.1ms
step:267/500000 loss:4.0502 t:17646ms avg:66.1ms
step:268/500000 loss:4.0974 t:17719ms avg:66.1ms
step:269/500000 loss:4.1566 t:17780ms avg:66.1ms
step:270/500000 loss:4.0764 t:17847ms avg:66.1ms
step:271/500000 loss:4.1750 t:17911ms avg:66.1ms
step:272/500000 loss:4.1160 t:17974ms avg:66.1ms
step:273/500000 loss:4.1277 t:18042ms avg:66.1ms
step:274/500000 loss:4.0093 t:18104ms avg:66.1ms
step:275/500000 loss:4.1940 t:18169ms avg:66.1ms
step:276/500000 loss:4.0514 t:18238ms avg:66.1ms
step:277/500000 loss:4.1799 t:18301ms avg:66.1ms
step:278/500000 loss:4.1252 t:18367ms avg:66.1ms
step:279/500000 loss:4.0809 t:18434ms avg:66.1ms
step:280/500000 loss:4.0486 t:18495ms avg:66.1ms
step:281/500000 loss:3.9213 t:18563ms avg:66.1ms
step:282/500000 loss:4.0875 t:18630ms avg:66.1ms
step:283/500000 loss:4.1494 t:18690ms avg:66.0ms
step:284/500000 loss:4.0066 t:18755ms avg:66.0ms
step:285/500000 loss:4.0582 t:18837ms avg:66.1ms
step:286/500000 loss:4.1802 t:18906ms avg:66.1ms
step:287/500000 loss:4.0707 t:18971ms avg:66.1ms
step:288/500000 loss:4.1745 t:19034ms avg:66.1ms
step:289/500000 loss:3.9620 t:19091ms avg:66.1ms
step:290/500000 loss:4.1710 t:19155ms avg:66.1ms
step:291/500000 loss:4.2224 t:19214ms avg:66.0ms
step:292/500000 loss:4.1114 t:19271ms avg:66.0ms
step:293/500000 loss:4.2114 t:19334ms avg:66.0ms
step:294/500000 loss:4.0543 t:19390ms avg:66.0ms
