step,grad_total,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10
240,0.4011,0.1822,0.1111,0.0764,0.0605,0.0546,0.0503,0.0491,0.0542,0.0607,0.0821,0.0845
245,0.4912,0.1924,0.1168,0.0844,0.0672,0.0586,0.0503,0.0507,0.0532,0.0582,0.0733,0.0689
250,0.3104,0.1894,0.1104,0.0786,0.064,0.0554,0.0485,0.0501,0.0545,0.0613,0.0815,0.0775
255,0.4764,0.198,0.1198,0.0865,0.0691,0.0601,0.0529,0.049,0.0479,0.0499,0.0645,0.0661
260,0.3532,0.189,0.1186,0.0877,0.0713,0.0598,0.049,0.0477,0.0507,0.0549,0.0727,0.073
265,0.4186,0.1822,0.1078,0.0788,0.0645,0.0574,0.053,0.0526,0.0563,0.0615,0.0816,0.0776
270,0.4157,0.1728,0.109,0.0817,0.0711,0.0646,0.0594,0.0581,0.0613,0.0649,0.0844,0.0846
275,0.3586,0.1862,0.1102,0.0822,0.0673,0.0572,0.051,0.051,0.0553,0.0579,0.0766,0.071
280,0.4046,0.1734,0.1079,0.0801,0.0681,0.0601,0.054,0.0536,0.0568,0.0618,0.0827,0.0947
285,0.4069,0.1569,0.0987,0.0742,0.0628,0.0581,0.0525,0.0551,0.06,0.0652,0.0913,0.0987
290,0.3406,0.1721,0.1059,0.0789,0.0651,0.0606,0.058,0.0588,0.061,0.0654,0.0846,0.0888
295,0.3853,0.176,0.1102,0.0849,0.0715,0.062,0.0542,0.0542,0.0565,0.0613,0.0804,0.087
300,0.3114,0.172,0.1075,0.085,0.0741,0.068,0.0596,0.0571,0.0586,0.0634,0.0792,0.0802
305,0.3546,0.1571,0.1021,0.0819,0.0731,0.0702,0.0647,0.0621,0.0647,0.0677,0.0916,0.0902
310,0.3572,0.1756,0.1088,0.0858,0.073,0.0638,0.0583,0.056,0.0579,0.0616,0.0816,0.081
315,0.3222,0.1736,0.1088,0.084,0.0713,0.0628,0.0568,0.0553,0.0574,0.0614,0.0795,0.0763
320,0.3545,0.1631,0.1011,0.0817,0.0708,0.0667,0.0652,0.0578,0.0586,0.0618,0.0792,0.0891
325,0.3616,0.171,0.1098,0.0853,0.0759,0.0722,0.0634,0.0594,0.0605,0.0619,0.0783,0.0756
330,0.3742,0.1649,0.1063,0.0848,0.0734,0.0669,0.0613,0.0601,0.0614,0.0645,0.0844,0.0834
335,0.3942,0.1657,0.1035,0.0809,0.0696,0.0621,0.0599,0.0595,0.0616,0.064,0.0838,0.0936
340,0.3552,0.1605,0.1046,0.0828,0.0742,0.067,0.0618,0.0606,0.0609,0.0647,0.0845,0.09
345,0.3964,0.1505,0.0962,0.0776,0.0697,0.0648,0.0633,0.0626,0.066,0.0696,0.091,0.0997
350,0.3217,0.1518,0.1022,0.0817,0.073,0.0686,0.0637,0.0643,0.0657,0.0688,0.0874,0.0858
355,0.3676,0.1544,0.1006,0.0835,0.0753,0.0686,0.0629,0.062,0.0633,0.0642,0.0815,0.0889
360,0.3141,0.1555,0.0976,0.0795,0.0723,0.0683,0.0652,0.0627,0.0652,0.0689,0.0877,0.0937
365,0.3711,0.1527,0.1001,0.0829,0.0744,0.0709,0.0682,0.0623,0.0631,0.0659,0.0852,0.1001
370,0.2907,0.1503,0.0989,0.0787,0.0694,0.0664,0.0621,0.061,0.0614,0.0644,0.084,0.0962
375,0.3371,0.1532,0.1006,0.0833,0.0766,0.0707,0.0669,0.0637,0.0642,0.0658,0.084,0.0868
380,0.3002,0.1469,0.0988,0.0828,0.0757,0.07,0.0684,0.0655,0.0686,0.0709,0.0899,0.0919
385,0.3595,0.1605,0.104,0.0834,0.0745,0.0683,0.066,0.0655,0.0662,0.0677,0.0837,0.0932
