step,grad_total,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10
1105,0.1905,0.0555,0.0502,0.0491,0.0468,0.0473,0.0496,0.0456,0.0443,0.0424,0.0507,0.0774
1110,0.2268,0.06,0.056,0.0532,0.0506,0.0465,0.0526,0.052,0.0508,0.0456,0.0581,0.0951
1115,0.2004,0.0551,0.0512,0.0489,0.0457,0.0446,0.0479,0.0473,0.0476,0.0444,0.0538,0.0837
1120,0.2546,0.0656,0.06,0.0591,0.0556,0.0571,0.0631,0.0621,0.0628,0.0547,0.0672,0.1066
1125,0.23,0.0578,0.0517,0.0515,0.0483,0.0475,0.0566,0.0567,0.0561,0.0515,0.0627,0.1111
1130,0.2071,0.0524,0.0491,0.0469,0.0439,0.0424,0.0469,0.0475,0.0481,0.0442,0.0538,0.0855
1135,0.2166,0.0546,0.0513,0.05,0.049,0.0467,0.0541,0.0528,0.05,0.0444,0.0548,0.0873
1140,0.2347,0.0629,0.0571,0.0555,0.0537,0.051,0.0557,0.0535,0.0525,0.0489,0.0603,0.0974
1145,0.2388,0.0643,0.061,0.0594,0.0567,0.053,0.0603,0.0578,0.0556,0.052,0.0636,0.1044
1150,0.2421,0.0606,0.0567,0.0545,0.052,0.0492,0.0575,0.0545,0.0542,0.0512,0.0607,0.0925
1155,0.2408,0.054,0.0505,0.0495,0.0488,0.0517,0.0546,0.0516,0.0523,0.0491,0.0585,0.1033
1160,0.185,0.0511,0.0477,0.0471,0.0444,0.0426,0.0479,0.0455,0.0434,0.0394,0.0484,0.0726
1165,0.2477,0.0575,0.0517,0.0516,0.048,0.0466,0.0549,0.0539,0.0559,0.0502,0.0623,0.1115
1170,0.2525,0.0556,0.0506,0.051,0.0488,0.0486,0.0589,0.0574,0.0584,0.0515,0.0643,0.1158
1175,0.2148,0.0483,0.0453,0.0453,0.0434,0.0425,0.0492,0.0499,0.0518,0.0469,0.0581,0.1005
1180,0.2377,0.0613,0.0534,0.0512,0.049,0.0488,0.0521,0.0515,0.053,0.0492,0.0629,0.0986
1185,0.2014,0.0506,0.0459,0.0449,0.0429,0.0418,0.0456,0.0455,0.0459,0.0416,0.0518,0.0756
1190,0.25,0.0526,0.049,0.0482,0.0454,0.0427,0.049,0.0491,0.0528,0.0456,0.0576,0.1026
1195,0.2038,0.0473,0.0485,0.0476,0.0446,0.0449,0.0515,0.0482,0.0459,0.0414,0.0507,0.0946
1200,0.2149,0.0588,0.0557,0.0543,0.0528,0.0498,0.0547,0.051,0.0478,0.0451,0.0542,0.0992
1205,0.2113,0.0537,0.0512,0.0494,0.0465,0.0425,0.0494,0.0499,0.049,0.044,0.0564,0.0933
1210,0.2167,0.0499,0.0477,0.0479,0.0449,0.0428,0.049,0.0482,0.0493,0.0446,0.0545,0.0955
1215,0.2189,0.0464,0.0439,0.0449,0.0445,0.0458,0.05,0.0467,0.0446,0.0419,0.0504,0.0849
1220,0.2171,0.0576,0.0517,0.0493,0.045,0.0426,0.0494,0.0492,0.0508,0.0477,0.0608,0.092
1225,0.2278,0.0492,0.0446,0.0453,0.0448,0.048,0.0525,0.0507,0.0519,0.0473,0.06,0.1041
1230,0.2081,0.0491,0.0472,0.0478,0.0478,0.0466,0.0515,0.0482,0.0463,0.0418,0.0529,0.0851
1235,0.1943,0.0487,0.0459,0.0464,0.0433,0.0421,0.0481,0.0472,0.0465,0.0412,0.0489,0.0775
1240,0.2143,0.052,0.0477,0.0472,0.0463,0.0456,0.0506,0.0488,0.0492,0.0439,0.0549,0.0987
1245,0.1941,0.0518,0.0496,0.0482,0.0452,0.0427,0.0486,0.0475,0.0457,0.04,0.0496,0.0888
1250,0.2104,0.0562,0.0519,0.0519,0.0488,0.0469,0.0515,0.0501,0.0482,0.044,0.0537,0.0893
1255,0.2095,0.0591,0.0557,0.0547,0.0504,0.0467,0.0535,0.0498,0.0481,0.0426,0.0531,0.0839
1260,0.2279,0.0424,0.0407,0.0412,0.0404,0.0403,0.0476,0.0472,0.0496,0.0432,0.0538,0.0942
1265,0.19,0.0483,0.0448,0.0435,0.0409,0.0385,0.0447,0.0445,0.0443,0.0403,0.0485,0.0722
1270,0.1942,0.0488,0.045,0.0457,0.045,0.0476,0.0523,0.0486,0.0437,0.0385,0.047,0.0712
1275,0.2327,0.0505,0.0475,0.0484,0.0446,0.0444,0.052,0.0511,0.0524,0.0501,0.0602,0.1043
1280,0.1853,0.0412,0.04,0.0392,0.0353,0.0329,0.041,0.0403,0.042,0.039,0.0494,0.0747
1285,0.1789,0.0414,0.04,0.0394,0.0373,0.036,0.0419,0.0409,0.0418,0.0386,0.047,0.0757
1290,0.1897,0.0394,0.0376,0.0374,0.036,0.0353,0.0401,0.0384,0.0384,0.0362,0.0452,0.0846
1295,0.1725,0.04,0.0382,0.0375,0.0351,0.033,0.037,0.0363,0.0365,0.0329,0.0403,0.0634
1300,0.2181,0.0506,0.0474,0.048,0.0461,0.0477,0.051,0.0492,0.049,0.0436,0.0547,0.0969
1305,0.1807,0.0407,0.0382,0.036,0.0345,0.0349,0.0385,0.0371,0.0374,0.0343,0.0436,0.0766
1310,0.2125,0.0469,0.0433,0.044,0.0424,0.0434,0.0459,0.0455,0.0441,0.0394,0.0518,0.0876
1315,0.1661,0.0401,0.0392,0.0391,0.0377,0.0363,0.0429,0.042,0.04,0.0356,0.0454,0.0644
1320,0.1851,0.0427,0.0419,0.0419,0.04,0.0374,0.0429,0.0424,0.0413,0.0356,0.0433,0.0812
1325,0.204,0.0464,0.0418,0.0415,0.0388,0.0358,0.0423,0.0427,0.0433,0.0391,0.0488,0.086
1330,0.172,0.0438,0.0417,0.0413,0.0375,0.0366,0.0406,0.0398,0.0373,0.0334,0.0419,0.0719
1335,0.1696,0.0342,0.0328,0.0322,0.0302,0.0288,0.0342,0.0339,0.0362,0.0325,0.0419,0.0633
1340,0.1833,0.041,0.0389,0.0382,0.0359,0.033,0.0389,0.0383,0.0392,0.0369,0.0467,0.0736
1345,0.1643,0.04,0.0359,0.0366,0.0347,0.0348,0.0383,0.0379,0.0389,0.0355,0.0429,0.0707
1350,0.193,0.0466,0.0435,0.0446,0.044,0.046,0.0481,0.0459,0.0442,0.0391,0.0493,0.0782
1355,0.1673,0.0394,0.0366,0.036,0.0343,0.033,0.0369,0.0366,0.0372,0.0341,0.0424,0.0759
1360,0.186,0.0427,0.0393,0.0389,0.0358,0.0331,0.0374,0.0372,0.0372,0.0342,0.0438,0.0843
1365,0.1802,0.0361,0.0351,0.0357,0.0335,0.0316,0.0368,0.038,0.0394,0.0354,0.0441,0.0767
1370,0.1827,0.0443,0.0434,0.0431,0.0394,0.0378,0.0436,0.0418,0.0422,0.0376,0.0457,0.0676
1375,0.1722,0.0388,0.037,0.0362,0.0335,0.0317,0.038,0.0385,0.0386,0.0337,0.0432,0.0653
1380,0.2029,0.0388,0.0366,0.0354,0.0328,0.0327,0.0371,0.0384,0.04,0.0348,0.0428,0.0711
1385,0.18,0.0403,0.0391,0.0386,0.0364,0.0341,0.0381,0.0373,0.0376,0.0334,0.044,0.0707
1390,0.1969,0.0384,0.0355,0.0353,0.0356,0.0365,0.043,0.045,0.0482,0.0431,0.0544,0.0994
1395,0.1857,0.0439,0.0433,0.0444,0.0413,0.0396,0.0471,0.0442,0.0397,0.0344,0.0418,0.0664
1400,0.1563,0.037,0.0351,0.0362,0.0368,0.0357,0.039,0.0367,0.0343,0.0309,0.0407,0.0565
1405,0.1629,0.0365,0.0353,0.0354,0.0344,0.0347,0.0373,0.0359,0.0335,0.031,0.0392,0.063
1410,0.1593,0.0327,0.0316,0.0314,0.0306,0.0292,0.0328,0.0325,0.034,0.0294,0.0382,0.0607
1415,0.1617,0.0415,0.0378,0.0362,0.0331,0.031,0.0353,0.0353,0.0365,0.0335,0.0442,0.0768
1420,0.155,0.0366,0.0347,0.0353,0.0328,0.0309,0.0355,0.0354,0.0365,0.0339,0.043,0.0701
1425,0.159,0.0353,0.0336,0.0336,0.0319,0.0307,0.0346,0.035,0.0361,0.0318,0.0401,0.06
1430,0.1446,0.0374,0.0352,0.0332,0.031,0.0282,0.0332,0.0343,0.0338,0.0303,0.0385,0.0545
1435,0.1693,0.0387,0.0358,0.0353,0.0341,0.0344,0.0371,0.0375,0.0376,0.0353,0.0445,0.0765
1440,0.1883,0.0365,0.0356,0.0356,0.0354,0.0334,0.0385,0.0381,0.0392,0.0328,0.0403,0.0663
1445,0.1693,0.0321,0.0312,0.0317,0.0298,0.0298,0.0334,0.0336,0.0344,0.031,0.037,0.0544
1450,0.1598,0.0372,0.0349,0.0347,0.0307,0.0286,0.0347,0.0349,0.0357,0.0312,0.0401,0.061
1455,0.1629,0.0356,0.0341,0.0337,0.0328,0.0328,0.0368,0.0359,0.0357,0.0321,0.0406,0.0701
1460,0.1644,0.0321,0.0307,0.0299,0.0291,0.0287,0.0337,0.034,0.0338,0.0301,0.0377,0.0703
1465,0.1608,0.0324,0.0306,0.0298,0.0298,0.03,0.0334,0.032,0.0316,0.0272,0.0356,0.0575
1470,0.1708,0.0438,0.0407,0.0408,0.0371,0.033,0.0372,0.0369,0.036,0.0319,0.0414,0.0643
1475,0.1758,0.0371,0.0377,0.0373,0.0331,0.0312,0.0366,0.0378,0.0373,0.0334,0.043,0.0749
1480,0.1411,0.0347,0.0356,0.0353,0.0326,0.0298,0.0345,0.0333,0.034,0.0319,0.0394,0.0581
1485,0.1577,0.0351,0.0333,0.0332,0.0328,0.0337,0.0373,0.0358,0.0343,0.0298,0.0378,0.052
1490,0.1408,0.0306,0.0288,0.0287,0.0275,0.0252,0.0288,0.0291,0.029,0.0278,0.0364,0.0567
1495,0.1585,0.0344,0.0328,0.0326,0.031,0.0287,0.032,0.0322,0.0344,0.0307,0.0399,0.0554
1500,0.1569,0.0355,0.0325,0.0323,0.0306,0.0299,0.0327,0.0325,0.0331,0.0296,0.0394,0.0723
1505,0.1454,0.0324,0.0306,0.0314,0.0289,0.026,0.0298,0.0298,0.0298,0.026,0.0339,0.0623
1510,0.1593,0.0357,0.0332,0.0338,0.031,0.0295,0.0333,0.0327,0.0321,0.0292,0.0383,0.0542
1515,0.1565,0.0307,0.0305,0.0288,0.0271,0.0274,0.0303,0.0302,0.0324,0.0285,0.0387,0.0637
1520,0.1454,0.0327,0.0314,0.032,0.031,0.03,0.0342,0.0334,0.0328,0.0284,0.0359,0.0512
1525,0.1456,0.0337,0.0323,0.0317,0.0315,0.0298,0.0341,0.0343,0.0339,0.031,0.0384,0.067
1530,0.1761,0.0378,0.0359,0.0354,0.0328,0.0301,0.0343,0.0347,0.0351,0.0299,0.0389,0.0659
1535,0.1692,0.0381,0.0362,0.0336,0.0306,0.0306,0.0314,0.0312,0.0314,0.0279,0.0359,0.0574
1540,0.1307,0.0336,0.0306,0.0299,0.0289,0.0265,0.0295,0.028,0.0271,0.0246,0.0328,0.0447
1545,0.1633,0.0417,0.0378,0.0366,0.0327,0.0327,0.0372,0.0357,0.0345,0.0306,0.0377,0.0666
1550,0.1396,0.0338,0.0309,0.0323,0.0303,0.0315,0.0328,0.0325,0.0318,0.028,0.0345,0.0514
1555,0.1314,0.0309,0.0286,0.0282,0.0265,0.0252,0.0286,0.0291,0.0301,0.027,0.0343,0.0523
1560,0.1312,0.0282,0.0252,0.0253,0.0246,0.0244,0.0276,0.0283,0.0282,0.0266,0.0344,0.051
1565,0.139,0.0305,0.029,0.0297,0.029,0.0269,0.0318,0.0311,0.0306,0.0267,0.0342,0.0505
1570,0.1673,0.0323,0.03,0.0304,0.0308,0.0315,0.0349,0.0351,0.0352,0.031,0.0396,0.0775
1575,0.162,0.0295,0.0268,0.0266,0.0257,0.0262,0.0304,0.0302,0.0305,0.0277,0.0347,0.0622
1580,0.1591,0.031,0.0295,0.0293,0.0279,0.0256,0.029,0.0299,0.0306,0.0266,0.0344,0.0603
1585,0.1388,0.0348,0.034,0.0351,0.0333,0.032,0.0344,0.0321,0.0297,0.0264,0.0339,0.0524
1590,0.1323,0.0325,0.031,0.0312,0.0287,0.0283,0.0298,0.028,0.0273,0.0251,0.032,0.0596
1595,0.6247,0.1452,0.0595,0.051,0.0875,0.0868,0.0882,0.069,0.0537,0.0604,0.0963,0.1054
1600,0.1426,0.0582,0.0355,0.0292,0.0428,0.0431,0.0444,0.0287,0.027,0.0272,0.0326,0.0448
1605,0.0948,0.0289,0.0238,0.0192,0.0244,0.0244,0.0243,0.0181,0.0184,0.0196,0.0257,0.0338
1610,0.0744,0.0208,0.0172,0.0147,0.0176,0.0178,0.0179,0.0147,0.0149,0.0151,0.0201,0.0258
1615,0.09,0.0201,0.0172,0.0155,0.018,0.0177,0.0185,0.0147,0.0154,0.0159,0.0213,0.0293
1620,0.1043,0.0195,0.0179,0.0158,0.0168,0.0161,0.017,0.0154,0.0173,0.0169,0.0228,0.0384
1625,0.108,0.0213,0.019,0.0175,0.019,0.019,0.0204,0.0168,0.0177,0.0172,0.0227,0.0332
1630,0.0921,0.0227,0.0214,0.0197,0.0212,0.0209,0.0218,0.017,0.0167,0.0164,0.0226,0.0344
1635,0.115,0.0245,0.0237,0.0215,0.0236,0.0237,0.0259,0.0206,0.0196,0.0184,0.0249,0.0371
1640,0.1111,0.0222,0.02,0.0192,0.0223,0.0246,0.025,0.0201,0.0198,0.0189,0.0247,0.0402
1645,0.1238,0.0259,0.0251,0.0237,0.0264,0.0269,0.0287,0.0223,0.0215,0.0197,0.0258,0.0425
1650,0.1377,0.0227,0.0215,0.02,0.025,0.0266,0.0276,0.0221,0.0219,0.021,0.0271,0.0489
1655,0.1265,0.0323,0.0322,0.0275,0.0333,0.0361,0.036,0.025,0.0225,0.0214,0.0301,0.0453
1660,0.1224,0.0259,0.0241,0.0226,0.0259,0.0274,0.0297,0.0235,0.0223,0.0211,0.027,0.0458
1665,0.1098,0.03,0.0282,0.026,0.0296,0.0297,0.0317,0.0226,0.02,0.0191,0.0256,0.0374
1670,0.1248,0.0312,0.0284,0.026,0.0309,0.0318,0.0341,0.026,0.023,0.0218,0.0301,0.0533
1675,0.1146,0.025,0.0221,0.0204,0.0245,0.0266,0.027,0.0204,0.0197,0.0197,0.0253,0.0412
1680,0.1335,0.0258,0.0248,0.0234,0.03,0.0314,0.033,0.0236,0.0228,0.0212,0.0281,0.0455
1685,0.1245,0.0242,0.022,0.0195,0.0242,0.0254,0.0267,0.0213,0.0215,0.0211,0.0281,0.0606
1690,0.1372,0.0239,0.0206,0.0189,0.0242,0.0251,0.0272,0.0222,0.0236,0.0229,0.0304,0.0572
1695,0.1277,0.0246,0.0219,0.0212,0.0269,0.0283,0.031,0.0251,0.0256,0.0235,0.0301,0.0503
1700,0.1231,0.0294,0.025,0.0228,0.0285,0.0284,0.0311,0.0238,0.0238,0.0226,0.0292,0.0549
1705,0.1046,0.0267,0.0244,0.0245,0.0304,0.0302,0.0323,0.0215,0.0198,0.0189,0.0244,0.0358
1710,0.1426,0.0304,0.0282,0.0291,0.0372,0.0395,0.0399,0.0265,0.023,0.0216,0.0283,0.0392
1715,0.1683,0.027,0.026,0.0267,0.0381,0.0431,0.0407,0.0282,0.0268,0.0237,0.0315,0.0628
1720,0.1118,0.0253,0.0235,0.0233,0.0303,0.0308,0.0321,0.0232,0.0218,0.02,0.0268,0.0492
1725,0.1211,0.0239,0.0223,0.0219,0.0265,0.0269,0.0302,0.0231,0.0223,0.0208,0.0265,0.0467
1730,0.1416,0.026,0.0242,0.0237,0.0298,0.0312,0.0327,0.0254,0.0262,0.0241,0.0309,0.0544
1735,0.1135,0.0248,0.0227,0.021,0.0268,0.0268,0.0288,0.0214,0.0207,0.0193,0.0254,0.0436
1740,0.1458,0.0268,0.0243,0.0234,0.0327,0.034,0.034,0.0226,0.0222,0.0203,0.0277,0.0556
1745,0.1155,0.0269,0.0262,0.0228,0.0297,0.0301,0.0326,0.0219,0.021,0.019,0.0261,0.0369
1750,0.1089,0.0258,0.0245,0.0235,0.0323,0.0367,0.0352,0.0234,0.0216,0.0199,0.0261,0.0451
1755,0.1247,0.0249,0.0227,0.0223,0.0297,0.0307,0.0322,0.0233,0.0231,0.0224,0.03,0.0558
1760,0.1276,0.0261,0.0238,0.0241,0.0338,0.0375,0.0365,0.0234,0.0224,0.0213,0.028,0.0503
1765,0.1291,0.0241,0.0218,0.021,0.0288,0.0292,0.0309,0.0225,0.0224,0.0202,0.0262,0.0463
1770,0.1298,0.027,0.0231,0.0234,0.032,0.0319,0.0346,0.0246,0.0242,0.022,0.0293,0.05
1775,0.1182,0.0262,0.0239,0.023,0.032,0.0326,0.0338,0.0243,0.0233,0.0218,0.0283,0.0414
1780,0.1263,0.0276,0.0252,0.0256,0.0326,0.0347,0.0377,0.0264,0.0229,0.0204,0.0268,0.0425
1785,0.1307,0.0261,0.0247,0.0247,0.0321,0.0322,0.0356,0.0251,0.0237,0.0207,0.0269,0.0438
1790,0.1176,0.0219,0.0188,0.0189,0.0261,0.0271,0.0289,0.0218,0.0211,0.0193,0.0261,0.0417
1795,0.1231,0.0247,0.0217,0.0204,0.0283,0.0288,0.0308,0.0237,0.0233,0.0224,0.0294,0.0535
1800,0.1178,0.024,0.0218,0.0212,0.0278,0.0274,0.0293,0.0212,0.0218,0.0209,0.0283,0.0438
1805,0.1044,0.0211,0.0186,0.0183,0.0239,0.0246,0.0268,0.0207,0.021,0.0199,0.0261,0.045
1810,0.1208,0.0231,0.0204,0.0206,0.029,0.03,0.032,0.0234,0.0222,0.02,0.0273,0.053
1815,0.11,0.0224,0.0201,0.0201,0.0285,0.0299,0.0319,0.0224,0.0211,0.0194,0.0259,0.0492
1820,0.1274,0.0242,0.0207,0.0204,0.0292,0.0306,0.0319,0.0235,0.0226,0.0216,0.0285,0.0607
1825,0.132,0.0256,0.0232,0.0232,0.0311,0.0308,0.0339,0.0243,0.0243,0.0222,0.0299,0.0498
1830,0.1186,0.0221,0.0194,0.0195,0.0279,0.0304,0.0312,0.0228,0.0226,0.0213,0.0274,0.0463
1835,0.1175,0.0261,0.0241,0.0232,0.0324,0.0344,0.0353,0.0241,0.0224,0.0206,0.0275,0.0475
1840,0.1177,0.0247,0.0217,0.0207,0.0279,0.0287,0.0319,0.0233,0.0226,0.0199,0.0266,0.0452
1845,0.1144,0.0236,0.0211,0.0206,0.0288,0.0289,0.0311,0.021,0.0213,0.019,0.0255,0.0349
1850,0.1267,0.0239,0.0218,0.0216,0.031,0.0311,0.0336,0.0228,0.0218,0.0199,0.0265,0.0417
1855,0.1328,0.0229,0.0207,0.0213,0.0301,0.0318,0.0338,0.0247,0.0242,0.0214,0.0284,0.051
1860,0.1252,0.0226,0.0199,0.0197,0.0283,0.0297,0.0311,0.0225,0.0229,0.0224,0.0289,0.0477
1865,0.1215,0.0235,0.0203,0.0216,0.0284,0.0295,0.0322,0.0235,0.0227,0.0213,0.0282,0.0489
1870,0.1112,0.0226,0.0202,0.0205,0.0283,0.0297,0.0313,0.0216,0.0214,0.0199,0.0269,0.0376
1875,0.1232,0.0255,0.0229,0.0226,0.0319,0.0331,0.0359,0.0252,0.0242,0.0218,0.0294,0.0506
1880,0.1236,0.0231,0.0204,0.0206,0.0298,0.031,0.0332,0.0238,0.0225,0.0197,0.0261,0.0503
1885,0.1262,0.0229,0.0203,0.0192,0.0274,0.0284,0.0293,0.0205,0.0209,0.0197,0.0257,0.0537
1890,0.1174,0.0226,0.0204,0.0205,0.0283,0.029,0.0315,0.0225,0.0231,0.0212,0.0276,0.048
1895,0.1174,0.0246,0.0219,0.0217,0.0317,0.0327,0.0353,0.0237,0.0234,0.021,0.0271,0.0452
1900,0.1131,0.0241,0.0228,0.0223,0.031,0.032,0.0344,0.0238,0.0227,0.0207,0.0276,0.0428
1905,0.1141,0.0228,0.021,0.0219,0.0315,0.0327,0.0339,0.0221,0.0208,0.0187,0.0261,0.0416
1910,0.1146,0.0215,0.0194,0.0204,0.0274,0.0287,0.0317,0.0228,0.0217,0.0209,0.0288,0.0368
1915,0.1204,0.024,0.0221,0.0227,0.0309,0.032,0.0343,0.0243,0.0227,0.0208,0.0284,0.0408
1920,0.124,0.0223,0.0205,0.021,0.0303,0.0328,0.0345,0.0242,0.0228,0.0216,0.0284,0.0498
1925,0.1138,0.0217,0.0194,0.0193,0.0278,0.0293,0.0315,0.0228,0.0225,0.0198,0.0265,0.0443
1930,0.1164,0.0242,0.0211,0.021,0.0289,0.0289,0.0317,0.0228,0.0225,0.0202,0.027,0.0446
1935,0.1199,0.0224,0.02,0.0198,0.0292,0.0297,0.0317,0.0216,0.0221,0.0203,0.0266,0.047
1940,0.1267,0.0226,0.0201,0.0196,0.029,0.03,0.0316,0.0218,0.0219,0.0193,0.0263,0.0436
1945,0.1215,0.0241,0.021,0.0211,0.0292,0.0316,0.0317,0.0212,0.0221,0.02,0.028,0.0424
1950,0.113,0.0228,0.0193,0.0203,0.0263,0.029,0.0312,0.0226,0.0214,0.0189,0.0248,0.042
1955,0.1152,0.0223,0.019,0.0211,0.0295,0.0301,0.0335,0.0233,0.0216,0.0194,0.0263,0.0371
1960,0.1351,0.0229,0.0203,0.0212,0.0314,0.0327,0.0344,0.0253,0.0253,0.0222,0.029,0.0599
1965,0.1249,0.0228,0.0214,0.0215,0.0326,0.0334,0.0361,0.0244,0.0234,0.0201,0.0273,0.0451
1970,0.1078,0.022,0.0197,0.0202,0.0292,0.0303,0.0317,0.0204,0.0197,0.0179,0.0241,0.0343
1975,0.1165,0.0238,0.0206,0.0203,0.0289,0.0301,0.0322,0.0216,0.0211,0.019,0.0259,0.0402
1980,0.1102,0.0227,0.0214,0.0206,0.0278,0.0276,0.0319,0.0234,0.0232,0.0221,0.0283,0.0478
1985,0.1113,0.024,0.0221,0.022,0.0303,0.0309,0.034,0.0231,0.0231,0.0211,0.0273,0.0406
1990,0.1156,0.0202,0.0176,0.0175,0.0252,0.0258,0.0278,0.0197,0.0212,0.0188,0.0256,0.0379
1995,0.1178,0.021,0.0186,0.0196,0.0293,0.0315,0.0328,0.0217,0.021,0.0194,0.0262,0.0445
2000,0.1483,0.0227,0.0195,0.0201,0.0297,0.0316,0.0345,0.0251,0.0245,0.022,0.0303,0.0546
2005,0.1193,0.0252,0.022,0.0233,0.0361,0.0392,0.0402,0.0263,0.0233,0.0217,0.0288,0.055
2010,0.1278,0.0244,0.0198,0.0204,0.0292,0.0315,0.032,0.0212,0.0212,0.02,0.0266,0.0451
2015,0.101,0.0201,0.0177,0.0183,0.0244,0.0255,0.0284,0.0213,0.0206,0.0191,0.0256,0.0356
2020,0.1229,0.0231,0.0199,0.0196,0.0277,0.0285,0.0318,0.0236,0.024,0.0206,0.0264,0.0483
2025,0.1031,0.0201,0.018,0.0185,0.0275,0.0277,0.0296,0.0207,0.0197,0.0177,0.024,0.0448
2030,0.1119,0.0199,0.0174,0.0182,0.0269,0.0284,0.0303,0.0224,0.0217,0.0188,0.0255,0.045
2035,0.1215,0.0227,0.02,0.0201,0.0283,0.0297,0.0323,0.0221,0.0229,0.0202,0.0268,0.0479
2040,0.1416,0.0247,0.0214,0.0212,0.0307,0.0333,0.0347,0.0238,0.0252,0.0237,0.0303,0.0575
2045,0.1361,0.0231,0.0193,0.0205,0.0302,0.0316,0.0335,0.0242,0.0238,0.0215,0.0292,0.0569
2050,0.1154,0.0208,0.0184,0.0188,0.0292,0.0305,0.0316,0.0224,0.0214,0.0188,0.0258,0.0474
2055,0.1091,0.025,0.0218,0.0228,0.0304,0.0318,0.0342,0.023,0.0213,0.0192,0.0261,0.0413
2060,0.1056,0.0215,0.0193,0.0213,0.0312,0.0314,0.0336,0.0213,0.0206,0.0186,0.0257,0.0331
2065,0.1182,0.0231,0.0206,0.0209,0.031,0.031,0.0339,0.0222,0.0209,0.0191,0.026,0.0454
2070,0.1387,0.0209,0.0187,0.0192,0.0305,0.0315,0.0342,0.0246,0.0253,0.0215,0.0284,0.0539
2075,0.1171,0.0211,0.0186,0.0195,0.0288,0.0291,0.0315,0.0215,0.0219,0.0203,0.0291,0.0446
2080,0.1369,0.0247,0.0218,0.0218,0.0302,0.0301,0.0335,0.0231,0.0235,0.021,0.0289,0.0481
2085,0.119,0.0227,0.0205,0.0211,0.0305,0.0318,0.0328,0.0221,0.0213,0.0185,0.0253,0.0449
2090,0.125,0.0223,0.0205,0.0211,0.032,0.0349,0.0368,0.0242,0.0228,0.0205,0.0262,0.0401
2095,0.1188,0.0238,0.0205,0.0202,0.0308,0.0328,0.0343,0.0237,0.0229,0.0205,0.0279,0.0508
2100,0.1101,0.0218,0.0187,0.0202,0.0319,0.0339,0.0355,0.0235,0.0222,0.0201,0.0281,0.045
2105,0.1253,0.0234,0.0206,0.0209,0.033,0.0333,0.0362,0.0244,0.0234,0.0205,0.0273,0.045
2110,0.1076,0.0234,0.0212,0.0213,0.0322,0.0328,0.035,0.0226,0.0217,0.0193,0.0264,0.0384
2115,0.1023,0.0186,0.0171,0.0168,0.0244,0.0243,0.0268,0.0187,0.0191,0.0173,0.0234,0.0347
2120,0.1003,0.0211,0.0187,0.0194,0.0288,0.029,0.0309,0.0187,0.0182,0.0166,0.0221,0.0317
2125,0.1154,0.0224,0.0214,0.0215,0.0334,0.0336,0.0359,0.0228,0.0221,0.0205,0.0274,0.0486
2130,0.1171,0.0205,0.0188,0.0204,0.0315,0.0323,0.0344,0.0217,0.02,0.0183,0.0243,0.0392
2135,0.113,0.0206,0.0189,0.0197,0.0283,0.0289,0.0319,0.0217,0.0211,0.0194,0.0263,0.0388
2140,0.1217,0.021,0.0186,0.0201,0.0308,0.0317,0.0353,0.0253,0.0243,0.0218,0.0296,0.0566
2145,0.1084,0.02,0.0181,0.018,0.0274,0.0277,0.03,0.0211,0.0211,0.0186,0.0252,0.0396
2150,0.1074,0.0224,0.02,0.0206,0.0283,0.0283,0.0313,0.021,0.0208,0.019,0.0259,0.0392
2155,0.1178,0.0206,0.0178,0.0192,0.0297,0.033,0.0344,0.0248,0.0237,0.0205,0.0277,0.0525
2160,0.1132,0.0212,0.0193,0.0212,0.0309,0.034,0.0358,0.0236,0.0209,0.0195,0.0265,0.0376
2165,0.1194,0.0205,0.0188,0.019,0.0282,0.0295,0.0325,0.0224,0.0215,0.0189,0.0255,0.038
2170,0.1159,0.0205,0.0191,0.0194,0.0304,0.0329,0.0334,0.0222,0.0216,0.0191,0.0256,0.0423
2175,0.108,0.0239,0.0211,0.0199,0.0297,0.0307,0.0315,0.0211,0.0204,0.0187,0.0261,0.046
2180,0.1257,0.0227,0.0198,0.0199,0.0305,0.0323,0.0349,0.0236,0.0235,0.0215,0.0284,0.0467
2185,0.119,0.0203,0.0176,0.0177,0.0264,0.0278,0.0294,0.0197,0.0216,0.0202,0.0265,0.0446
2190,0.0984,0.019,0.0161,0.0178,0.0261,0.0273,0.0299,0.0195,0.0186,0.0171,0.0233,0.036
2195,0.1118,0.021,0.02,0.0217,0.0314,0.032,0.0354,0.0233,0.0213,0.019,0.0263,0.0362
2200,0.1293,0.022,0.0195,0.0217,0.0355,0.0361,0.0386,0.0245,0.0226,0.0195,0.027,0.0475
2205,0.1235,0.0205,0.0189,0.02,0.0302,0.0309,0.0348,0.0243,0.0232,0.0202,0.0263,0.0458
2210,0.0986,0.0221,0.0202,0.0203,0.0289,0.0292,0.0324,0.0215,0.0199,0.018,0.0246,0.0365
2215,0.1085,0.0208,0.0187,0.019,0.0276,0.0284,0.0309,0.0223,0.0215,0.0192,0.027,0.0463
2220,0.1208,0.0222,0.0197,0.0203,0.0309,0.033,0.0338,0.0224,0.0214,0.0198,0.0263,0.0517
2225,0.1153,0.0213,0.0191,0.0202,0.0308,0.0323,0.0331,0.0225,0.0223,0.0206,0.0272,0.0482
