step,wallclock_s,step_time_ms,fwd_us,bwd_us,opt_us,dataloader_us,active_bytes,reserved_bytes,num_alloc_retries,num_device_alloc,num_device_free
67,6936818.803948,183.861,-1.0,-1.0,-1.0,211.2,683933696,46393196544,0,348,0
68,6936818.989666,185.718,-1.0,-1.0,-1.0,343.0,683933696,46393196544,0,348,0
69,6936819.176735,187.069,-1.0,-1.0,-1.0,209.4,683933696,46393196544,0,348,0
70,6936819.362626,185.891,-1.0,-1.0,-1.0,350.9,683933696,46393196544,0,348,0
71,6936819.548460,185.834,-1.0,-1.0,-1.0,509.8,683933696,46393196544,0,348,0
72,6936819.735010,186.550,-1.0,-1.0,-1.0,376.1,683933696,46393196544,0,348,0
73,6936819.920260,185.250,-1.0,-1.0,-1.0,443.8,683933696,46393196544,0,348,0
74,6936820.105651,185.391,-1.0,-1.0,-1.0,344.4,683933696,46393196544,0,348,0
75,6936820.295281,189.630,-1.0,-1.0,-1.0,340.0,683933696,46393196544,0,348,0
76,6936820.479172,183.891,-1.0,-1.0,-1.0,206.2,683933696,46393196544,0,348,0
77,6936820.665570,186.398,-1.0,-1.0,-1.0,432.5,683933696,46393196544,0,348,0
78,6936820.849859,184.289,-1.0,-1.0,-1.0,362.0,683933696,46393196544,0,348,0
79,6936821.035298,185.439,-1.0,-1.0,-1.0,367.6,683933696,46393196544,0,348,0
80,6936821.220274,184.976,-1.0,-1.0,-1.0,393.3,683933696,46393196544,0,348,0
81,6936821.405208,184.934,-1.0,-1.0,-1.0,427.5,683933696,46393196544,0,348,0
82,6936821.594355,189.147,-1.0,-1.0,-1.0,199.6,683933696,46393196544,0,348,0
83,6936821.777908,183.553,-1.0,-1.0,-1.0,212.3,683933696,46393196544,0,348,0
84,6936821.962281,184.373,-1.0,-1.0,-1.0,205.5,683933696,46393196544,0,348,0
85,6936822.150101,187.820,-1.0,-1.0,-1.0,339.2,683933696,46393196544,0,348,0
86,6936822.337584,187.483,-1.0,-1.0,-1.0,331.4,683933696,46393196544,0,348,0
87,6936822.522159,184.575,-1.0,-1.0,-1.0,228.3,683933696,46393196544,0,348,0
